,ID,filename,channel_num,channel_letter,chamber,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,box,test_date,time_start,sex_x,population,site,host_plant,flew,died,flight_type,flight_details,NOTES,mass,short-wing,eggs,time_end,latitude,longitude,pophost,sex_y,beak,thorax,wing,body,w_morph,notes,date_measured,date_entered,recorder,lat,long
291,50,set027-10-21-19-A3.txt,3,A,A-3,27,0.188,0,5.026,0,0,0,1800.0,0.18,B,10.21,1:10,M,Key Largo,JP Grove,C. corindum ,Y,,B,bursts,,,,,,25.12846,-80.40809,C.corindum,M,6.25,3.37,8.67,11.84,L,,03.19.2020,03.25.2020,AB,25.12846,-80.40809
296,84,set027-10-21-19-A4.txt,4,A,A-4,27,0,0,0,0,0,0,1800.0,0,B,10.21,1:10,M,North Key Largo,Dagny 1/2 Loop,C. corindum ,Y,,B,bursts,,,,,,25.173694,-80.371532,C.corindum,M,6.62,2.99,8.62,11.57,L,,03.20.2020,03.25.2020,AB,25.173694,-80.371532
302,183,set027-10-21-19-B4.txt,4,B,B-4,27,0.225,842.1,38.326,78.1,376.5,0.468,1800.0,0.698,Petri1,10.21,1:10,M,North Key Largo,N. Dagny,C. corindum ,Y,,B,bursts,,,,,,25.18229498,-80.36369887,C.corindum,M,6.56,3.06,8.04,10.92,L,,03.20.2020,03.25.2020,AB,25.18229498,-80.36369887
306,59,set028-10-21-19-A2.txt,2,A,A-2,28,0,0,0,0,0,0,1800.0,0,B,10.21,3:25,M,Key Largo,JP Grove,C. corindum ,N,,,,,,,,,25.12846,-80.40809,C.corindum,M,6.34,3.43,8.32,11.36,L,wings torn at end,03.20.2020,03.25.2020,AB,25.12846,-80.40809
307,245,set028-10-21-19-B2.txt,2,B,B-2,28,0.244,0,2.513,0,0,0,1800.0,0.157,E,10.21,3:25,F,North Key Largo,DD front,C. corindum ,N,,,,,,,Y,,25.27352007,-80.30428184,C.corindum,F,9.07,3.67,9.91,13.69,L,,03.23.2020,03.26.2020,AB,25.27352007,-80.30428184
309,252,set028-10-21-19-B3.txt,3,B,B-3,28,0,0,0,0,0,0,1800.0,0,E,10.21,3:25,F,North Key Largo,DD -inter,C. corindum ,N,,,,,,,Y,,25.252842,-80.311826,C.corindum,F,8.40,3.46,9.33,12.94,L,,03.23.2020,03.26.2020,AB,25.252842,-80.311826
311,284,set028-10-21-19-B4.txt,4,B,B-4,28,0,0,0,0,0,0,1800.0,0,C,10.21,3:25,M,North Key Largo,DD,C. corindum ,N,,,,,,,,,25.28636983,-80.29077075,C.corindum,M,5.39,2.89,7.61,10.10,L,wings torn at end,03.24.2020,03.26.2020,AB,25.28636983,-80.29077075
312,90,set029-10-21-19-A2.txt,2,A,A-2,29,0.28,279.9,6.283,132.0,143.1,0.156,1800.0,0.524,Petri1,10.21,4:10,F,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,,,,,25.491968,-80.48562,K.elegans,F,7.94,3.75,10.28,13.41,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
316,65,set029-10-21-19-A4.txt,4,A,A-4,29,0,0,0,0,0,0,1800.0,0,B,10.21,4:10,F,Key Largo,JP Grove,C. corindum ,N,,,,,,,Y,,25.12846,-80.40809,C.corindum,F,7.33,3.23,8.13,11.92,L,wings torn at end,03.20.2020,03.25.2020,AB,25.12846,-80.40809
319,409,set029-10-21-19-B3.txt,3,B,B-3,29,0,0,0.628,0,0,0,1800.0,0,D,10.21,4:10,M,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,,,,,,29.661821,-82.347211,K.elegans,M,5.72,3.18,8.53,11.55,L,,03.24.2020,03.26.2020,AB,29.661821,-82.347211
11,141,set003-10-15-19-A2.txt,2,A,A-2,3,0,0,0,0,0,0,1449.4,0,Petri1,10.15,12:45,F,Lake Wales,Polk,K. elegans,N,Y,,,,,,Y,,27.903346,-81.589461,K.elegans,F,7.62,3.49,9.78,13.42,L,,03.20.2020,03.25.2020,AB,27.903346,-81.589461
12,82,set003-10-15-19-A4.txt,4,A,A-4,3,0,0,0,0,0,0,1449.4,0,B,10.15,12:45,M,North Key Largo,Dagny 1/2 Loop,C. corindum ,N,,,,,,,,,25.173694,-80.371532,C.corindum,M,6.31,3.09,8.15,11.11,L,,03.20.2020,03.25.2020,AB,25.173694,-80.371532
13,402,set003-10-15-19-B1.txt,1,B,B-1,3,0,0,0,0,0,0,1504.3,0,Petri2,10.15,12:45,M,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,,,,,,29.661821,-82.347211,K.elegans,M,5.64,3.20,8.34,11.50,L,,03.24.2020,03.26.2020,AB,29.661821,-82.347211
15,86,set003-10-15-19-B2.txt,2,B,B-2,3,0,0,0,0,0,0,1504.3,0,B,10.15,12:45,M,North Key Largo,Dagny 1/2 Loop,C. corindum ,N,,,,,,,,,25.173694,-80.371532,C.corindum,M,6.19,2.84,7.69,10.69,L,,03.20.2020,03.25.2020,AB,25.173694,-80.371532
16,58,set003-10-15-19-B3.txt,3,B,B-3,3,0,0,0.628,0,0,0,1504.3,0,B,10.15,12:45,F,Key Largo,JP Grove,C. corindum ,N,,,,,,,,,25.12846,-80.40809,C.corindum,F,9.66,3.89,9.95,13.57,L,wings torn at end,03.19.2020,03.25.2020,AB,25.12846,-80.40809
18,132,set003-10-15-19-B4.txt,4,B,B-4,3,0.231,581.2,93.617,82.0,97.5,0.386,1504.3,1.047,B,10.15,12:45,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,struggled against gravity,,,,,25.491968,-80.48562,K.elegans,M,5.75,3.32,9.04,11.98,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
321,119,set030-10-21-19-A1.txt,1,A,A-1,30,0.157,0,1.885,0,0,0,1800.0,0.153,A,10.21,4:50,M,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,,,,,25.491968,-80.48562,K.elegans,M,5.57,3.04,8.33,11.11,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
324,2,set030-10-21-19-A2.txt,2,A,A-2,30,0,0,0,0,0,0,1800.0,0,Petri1,10.21,4:50,F,Plantation Key,Founder's #2,C. corindum ,N,,,,,,,Y,,24.985185,-80.547098,C.corindum,F,8.26,3.33,6.94,10.92,S,,03.19.2020,03.25.2020,AB,24.985185,-80.547098
308,245,set031-10-23-19-A1.txt,1,A,A-1,31,0,0,0.628,0,0,0,3600.0,0,,10.23,9:00am,F,North Key Largo,DD front,C. corindum ,N,Y,,,,,N,Y,,25.27352007,-80.30428184,C.corindum,F,9.07,3.67,9.91,13.69,L,,03.23.2020,03.26.2020,AB,25.27352007,-80.30428184
84,226,set031-10-23-19-A4.txt,4,A,A-4,31,0.209,17.4,9.425,0,11.3,0.005,3600.0,0.331,,10.23,9:00am,M,North Key Largo,Carysfort Cr,C. corindum ,Y,,B,burst,,,N,,,25.25647566,-80.31068981,C.corindum,M,6.34,2.91,8.08,11.25,L,,03.23.2020,03.26.2020,AB,25.25647566,-80.31068981
214,103,set031-10-23-19-B1.txt,1,B,B-1,31,0.275,3468.7,887.16,0,1948.6,0.964,3600.0,0.524,,10.23,9:00am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous; 60+ min,,,N,,,25.491968,-80.48562,K.elegans,M,5.86,3.12,8.64,11.82,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
233,96,set031-10-23-19-B2.txt,2,B,B-2,31,0.258,3481.6,853.231,0,3481.6,0.967,3600.0,0.393,,10.23,9:00am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous; 60+ min,,,N,,,25.491968,-80.48562,K.elegans,M,5.69,3.10,8.70,11.60,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
178,109,set031-10-23-19-B3.txt,3,B,B-3,31,0.306,66.7,20.734,0,30.2,0.019,3600.0,0.524,,10.23,9:00am,F,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,burst,,,N,Y,,25.491968,-80.48562,K.elegans,F,7.98,3.66,10.23,13.60,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
220,421,set032-10-23-19-A1.txt,1,A,A-1,32,0,0,0,0,0,0,3600.0,0,,10.23,10:00am,M,Gainesville,NW 10th Ave & 18th St,K. elegans,N,Y,,,,,N,,,29.661821,-82.347211,K.elegans,M,5.79,3.37,9.34,12.55,L,,03.24.2020,03.26.2020,AB,29.661821,-82.347211
317,65,set032-10-23-19-A2.txt,2,A,A-2,32,0,0,1.257,0,0,0,3600.0,0,,10.23,10:00am,F,Key Largo,JP Grove,C. corindum ,N,,,,,,N,Y,,25.12846,-80.40809,C.corindum,F,7.33,3.23,8.13,11.92,L,wings torn at end,03.20.2020,03.25.2020,AB,25.12846,-80.40809
124,125,set032-10-23-19-A3.txt,3,A,A-3,32,0.207,2586.6,277.08,0,1409.4,0.719,3600.0,0.393,,10.23,10:00am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous; 60+ min,,,N,,,25.491968,-80.48562,K.elegans,M,6.14,3.19,9.02,12.10,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
14,402,set032-10-23-19-B1.txt,1,B,B-1,32,0,0,0,0,0,0,3600.0,0,P,10.23,10:00am,M,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,,,N,,,29.661821,-82.347211,K.elegans,M,5.64,3.20,8.34,11.50,L,,03.24.2020,03.26.2020,AB,29.661821,-82.347211
325,74,set032-10-23-19-B2.txt,2,B,B-2,32,0,0,0.628,0,0,0,3600.0,0,,10.23,10:00am,F,North Key Largo,Dagny Trellis,C. corindum ,N,Y,,,,,N,Y,,25.1755048,-80.36782055,C.corindum,F,8.80,3.51,9.27,12.74,L,wings torn at end,03.20.2020,03.25.2020,AB,25.1755048,-80.36782055
183,235,set032-10-23-19-B3.txt,3,B,B-3,32,0.329,3507.1,990.829,266.8,2450.5,0.974,3600.0,0.524,,10.23,10:00am,F,North Key Largo,Carysfort Cr,C. corindum ,Y,,C,continuous; 60+ min,,,N,Y,,25.25647566,-80.31068981,C.corindum,F,9.09,3.66,9.75,13.43,L,,03.23.2020,03.26.2020,AB,25.25647566,-80.31068981
23,262,set033-10-23-19-A2.txt,2,A,A-2,33,0.29,2938.0,18.849,214.7,2635.9,0.816,3600.0,0.628,,10.23,1:00pm,M,North Key Largo,DD,C. corindum ,Y,,B,bursts,,,N,,,25.28636983,-80.29077075,C.corindum,M,6.28,3.11,8.59,11.75,L,,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
239,136,set033-10-23-19-A3.txt,3,A,A-3,33,0.332,1285.3,422.218,0,1285.3,0.357,3600.0,0.698,,10.23,1:00pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous; 60+ min,started at 35 min,,N,,,25.491968,-80.48562,K.elegans,M,5.50,3.01,8.61,11.37,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
52,254,set033-10-23-19-B2.txt,2,B,B-2,33,0,0,1.257,0,0,0,3600.0,0,,10.23,1:00pm,M,North Key Largo,DD,C. corindum ,N,,,,,,N,,,25.28636983,-80.29077075,C.corindum,M,6.03,3.08,7.77,10.65,L,wings torn at end,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
326,153,set034-10-23-19-A1.txt,1,A,A-1,34,0,0,0,0,0,0,3600.0,0,,10.23,2:15pm,F,Lake Wales,Polk,K. elegans,N,,,,,,N,Y,,27.903346,-81.589461,K.elegans,F,7.30,3.70,10.42,13.97,L,wings torn at end,03.20.2020,03.25.2020,AB,27.903346,-81.589461
147,95,set034-10-23-19-A2.txt,2,A,A-2,34,0.484,2997.0,1424.356,0,2997.0,0.833,3600.0,0.628,,10.23,2:15pm,F,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous; 60+ min,,,N,Y,,25.491968,-80.48562,K.elegans,F,8.37,3.80,10.22,14.17,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
268,286,set034-10-23-19-A4.txt,4,A,A-4,34,0.261,3570.3,894.699,209.9,3360.4,0.992,3600.0,0.314,P,10.23,2:15pm,M,North Key Largo,DD,C. corindum ,Y,,C,continuous; 60+ min,,,N,,,25.28636983,-80.29077075,C.corindum,M,5.73,2.85,7.25,10.10,L,,03.24.2020,03.26.2020,AB,25.28636983,-80.29077075
327,280,set034-10-23-19-B2.txt,2,B,B-2,34,0,0,0.628,0,0,0,3600.0,0,,10.23,2:15pm,M,North Key Largo,DD,C. corindum ,N,,,,,,N,,,25.28636983,-80.29077075,C.corindum,M,6.49,3.29,8.87,12.41,L,,03.24.2020,03.26.2020,AB,25.28636983,-80.29077075
292,50,set034-10-23-19-B3.txt,3,B,B-3,34,0.29,1118.8,21.362,0,392.4,0.311,3600.0,0.524,,10.23,2:15pm,M,Key Largo,JP Grove,C. corindum ,Y,,B,bursts,,,N,,,25.12846,-80.40809,C.corindum,M,6.25,3.37,8.67,11.84,L,,03.19.2020,03.25.2020,AB,25.12846,-80.40809
78,279,set034-10-23-19-B4.txt,4,B,B-4,34,0.359,3595.1,1270.423,0,3595.1,0.999,3600.0,0.483,,10.23,2:15pm,M,North Key Largo,DD,C. corindum ,Y,,C,continuous; 60+ min,,,N,,,25.28636983,-80.29077075,C.corindum,M,6.17,3.24,8.40,11.61,L,,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
17,58,set035-10-23-19-B1.txt,1,B,B-1,35,0,0,0,0,0,0,3600.0,0,,10.23,3:25pm,F,Key Largo,JP Grove,C. corindum ,,Y,,,,,N,,,25.12846,-80.40809,C.corindum,F,9.66,3.89,9.95,13.57,L,wings torn at end,03.19.2020,03.25.2020,AB,25.12846,-80.40809
280,91,set035-10-23-19-B2.txt,2,B,B-2,35,0.28,3595.5,989.572,0,3595.5,0.999,3600.0,0.419,P,10.23,3:25pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,Y,C,continuous; 60+ min,,,N,,,25.491968,-80.48562,K.elegans,M,5.93,3.21,8.53,11.82,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
204,276,set035-10-23-19-B3.txt,3,B,B-3,35,0.445,3574.6,1580.803,0,3574.6,0.993,3600.0,0.571,,10.23,3:25pm,M,North Key Largo,DD,C. corindum ,Y,,C,continuous; 60+ min,,,N,,,25.28636983,-80.29077075,C.corindum,M,6.44,3.29,8.69,11.64,L,wings torn at end,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
329,118,set035-10-23-19-B4.txt,4,B,B-4,35,0.346,407.3,3.141,0,403.6,0.113,3600.0,0.483,,10.23,3:25pm,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,trial ended at 30 min because paint fell off,,N,,,25.491968,-80.48562,K.elegans,M,5.74,3.15,8.74,11.78,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
288,159,set036-10-24-19-B1.txt,1,B,B-1,36,0,0,0,0,0,0,3600.0,0,,10.24,9:00am,M,Lake Wales,Polk,K. elegans,N,,,,,,N,,,27.903346,-81.589461,K.elegans,M,5.51,3.18,8.44,11.46,L,,03.20.2020,03.25.2020,AB,27.903346,-81.589461
135,67,set036-10-24-19-B2.txt,2,B,B-2,36,0.432,1241.0,20.734,0,807.5,0.345,3600.0,1.257,P,10.24,9:00am,M,North Key Largo,Dagny Trellis,C. corindum ,Y,,B,bursts,,,N,,,25.1755048,-80.36782055,C.corindum,M,6.23,2.94,7.76,10.94,L,,03.20.2020,03.25.2020,AB,25.1755048,-80.36782055
303,183,set036-10-24-19-B4.txt,4,B,B-4,36,0.276,3223.2,855.116,72.8,3046.7,0.895,3600.0,0.483,P,10.24,9:00am,M,North Key Largo,N. Dagny,C. corindum ,Y,,C,continuous; 60+ min,,,N,,,25.18229498,-80.36369887,C.corindum,M,6.56,3.06,8.04,10.92,L,,03.20.2020,03.25.2020,AB,25.18229498,-80.36369887
194,49,set037-10-24-19-A1.txt,1,A,A-1,37,0.424,3597.4,1454.515,0,3597.4,0.999,3600.0,0.698,,10.24,10:10am,M,Key Largo,JP Grove,C. corindum ,Y,Y,C,continuous; 60+ min,,,N,,,25.12846,-80.40809,C.corindum,M,6.58,3.33,9.56,12.32,L,,03.19.2020,03.25.2020,AB,25.12846,-80.40809
331,107,set037-10-24-19-A3.txt,3,A,A-3,37,0,0,0,0,0,0,3600.0,0,,10.24,10:10am,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,,N,Y,,25.491968,-80.48562,K.elegans,F,8.33,3.74,9.30,12.73,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
284,404,set037-10-24-19-B3.txt,3,B,B-3,37,0.377,2412.0,423.474,0,1274.8,0.67,3600.0,0.524,P,10.24,10:10am,F,Gainesville,NW 10th Ave & 18th St,K. elegans,Y,,BC,bursts to continuous; 60+ min,,,N,Y,,29.661821,-82.347211,K.elegans,F,7.86,3.59,9.82,13.37,L,,03.24.2020,03.26.2020,AB,29.661821,-82.347211
113,116,set037-10-24-19-B4.txt,4,B,B-4,37,0.299,3541.8,1019.103,0,3541.8,0.984,3600.0,0.483,,10.24,10:10am,F,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,BC,bursts to continuous; 60+ min,,,N,,,25.491968,-80.48562,K.elegans,M,6.08,3.05,8.29,11.20,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
81,149,set038-10-24-19-B2.txt,2,B,B-2,38,0.352,2790.2,35.813,0,1203.0,0.388,7200.0,0.483,,10.24,11:20am,F,Lake Wales,Polk,K. elegans,N,,,,,,N,Y,,27.903346,-81.589461,K.elegans,F,8.18,3.73,10.05,13.89,L,wings torn at end,03.20.2020,03.25.2020,AB,27.903346,-81.589461
61,253,set038-10-24-19-B3.txt,3,B,B-3,38,0.571,0,1.885,0,0,0,7200.0,0,,10.24,11:20am,F,North Key Largo,DD,C. corindum ,N,,,,,,N,Y,,25.28636983,-80.29077075,C.corindum,F,8.50,3.75,9.46,12.32,L,,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
250,134,set038-10-24-19-B4.txt,4,B,B-4,38,0.348,2560.1,742.651,0,2187.5,0.356,7200.0,0.449,,10.24,11:20am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,CB,continuous to bursts,,,N,,,25.491968,-80.48562,K.elegans,M,5.27,3.16,8.45,11.21,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
196,123,set039-10-24-19-A3.txt,3,A,A-3,39,0.217,23.4,6.911,0,20.7,0.007,3600.0,0.286,,10.24,12:35pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,,N,,,25.491968,-80.48562,K.elegans,M,6.12,3.26,9.14,12.22,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
333,282,set039-10-24-19-A4.txt,4,A,A-4,39,0,0,0,0,0,0,3600.0,0,,10.24,12:35pm,M,North Key Largo,DD,C. corindum ,N,Y,,,,,N,,,25.28636983,-80.29077075,C.corindum,M,6.84,3.32,8.23,11.38,L,wings torn at end,03.24.2020,03.26.2020,AB,25.28636983,-80.29077075
108,68,set039-10-24-19-B3.txt,3,B,B-3,39,0.228,2051.4,187.862,0,792.9,0.57,3600.0,0.483,P,10.24,12:35pm,M,North Key Largo,Dagny Trellis,C. corindum ,Y,,BC,bursts to continuous; 60+ min,,,N,Y,,25.1755048,-80.36782055,C.corindum,F,8.26,3.77,10.11,13.74,L,,03.20.2020,03.25.2020,AB,25.1755048,-80.36782055
132,69,set039-10-24-19-B4.txt,4,B,B-4,39,0.393,0,1.885,0,0,0,3600.0,0.262,P,10.24,12:35pm,F,North Key Largo,Dagny Trellis,C. corindum ,N,,,,,,N,Y,,25.1755048,-80.36782055,C.corindum,F,8.74,3.43,8.99,12.55,L,,03.20.2020,03.25.2020,AB,25.1755048,-80.36782055
22,262,set004-10-15-19-A1.txt,1,A,A-1,4,0.319,1326.7,16.336,70.6,1205.5,0.737,1800.0,0.785,C,10.15,1:30,M,North Key Largo,DD,C. corindum ,Y,,B,,,,,,,25.28636983,-80.29077075,C.corindum,M,6.28,3.11,8.59,11.75,L,,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
27,105,set004-10-15-19-A2.txt,2,A,A-2,4,0,0,0,0,0,0,1800.0,0,A,10:15,1:30,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,,,Y,,25.491968,-80.48562,K.elegans,F,8.02,3.69,9.86,13.57,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
30,237,set004-10-15-19-A3.txt,3,A,A-3,4,0,0,0,0,0,0,1800.0,0,Petri2,10:15,1:30,F,North Key Largo,Carysfort Cr,C. corindum ,N,,,,,,,,,25.25647566,-80.31068981,C.corindum,F,7.79,3.37,8.52,12.15,L,,03.23.2020,03.26.2020,AB,25.25647566,-80.31068981
173,81,set040-10-24-19-A1.txt,1,A,A-1,40,0.11,0,1.885,0,0,0,3600.0,0.119,,10.24,1:40pm,M,North Key Largo,Dagny 1/2 Loop,C. corindum ,N,,,,,0.042,N,,,25.173694,-80.371532,C.corindum,M,6.60,2.89,7.98,11.27,L,,03.20.2020,03.25.2020,AB,25.173694,-80.371532
257,263,set040-10-24-19-A2.txt,2,A,A-2,40,0.273,0,1.885,0,0,0,3600.0,0,,10.24,1:40pm,F,North Key Largo,DD,C. corindum ,N,,,,,0.093,N,Y,,25.28636983,-80.29077075,C.corindum,F,6.56,3.19,8.32,11.34,L,,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
119,229,set040-10-24-19-A3.txt,3,A,A-3,40,0.335,1662.0,4.398,0,1238.4,0.462,3600.0,0.393,,10.24,1:40pm,F,North Key Largo,Carysfort Cr,C. corindum ,N,,,,,0.061,N,Y,,25.25647566,-80.31068981,C.corindum,F,7.66,3.16,8.36,11.67,L,,03.23.2020,03.26.2020,AB,25.25647566,-80.31068981
209,92,set040-10-24-19-A4.txt,4,A,A-4,40,0,0,0,0,0,0,3600.0,0,,10.24,1:40pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.046,N,,,25.491968,-80.48562,K.elegans,M,5.92,3.19,8.71,11.52,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
252,48,set041-10-25-19-A1.txt,1,A,A-1,41,0,0,0,0,0,0,3600.0,0,,10.25,9:25am,F,Key Largo,JP Grove,C. corindum ,N,,,,,0.102,N,Y,,25.12846,-80.40809,C.corindum,F,8.56,3.55,9.12,12.58,L,,03.19.2020,03.25.2020,AB,25.12846,-80.40809
222,129,set041-10-25-19-A3.txt,3,A,A-3,41,0.302,1493.1,95.502,0,433.5,0.415,3600.0,0.449,,10.25,9:25am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.051,N,,,25.491968,-80.48562,K.elegans,M,5.58,3.11,8.49,11.18,L,wings torn at end,03.20.2020,03.25.2020,AB,25.491968,-80.48562
33,99,set041-10-25-19-A4.txt,4,A,A-4,41,0.313,2704.8,10.053,0,2692.7,0.751,3600.0,0.393,P,10.25,9:25am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.043,N,,,25.491968,-80.48562,K.elegans,M,5.95,3.03,8.89,11.69,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
63,223,set041-10-25-19-B1.txt,1,B,B-1,41,0.202,7.5,1.885,0,7.5,0.002,3600.0,0.262,,10.25,9:25am,F,North Key Largo,Carysfort Cr,C. corindum ,N,,,,,0.07,N,,,25.25647566,-80.31068981,C.corindum,F,8.57,3.59,8.91,12.73,L,,03.23.2020,03.26.2020,AB,25.25647566,-80.31068981
334,410,set041-10-25-19-B2.txt,2,B,B-2,41,0,0,0,0,0,0,3600.0,0,,10.25,9:25am,F,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,,0.071,N,Y,,29.661821,-82.347211,K.elegans,F,7.96,3.51,9.45,13.02,L,wings torn at end,03.24.2020,03.26.2020,AB,29.661821,-82.347211
143,416,set041-10-25-19-B3.txt,3,B,B-3,41,0.483,3535.4,1639.863,0,3166.9,0.982,3600.0,0.698,,10.25,9:25am,F,Gainesville,NW 10th Ave & 18th St,K. elegans,Y,,C,continuous; 60+ min,,0.064,N,Y,,29.661821,-82.347211,K.elegans,F,7.86,3.63,9.89,13.68,L,wings torn at end,03.24.2020,03.26.2020,AB,29.661821,-82.347211
336,114,set041-10-25-19-B4.txt,4,B,B-4,41,0,0,0,0,0,0,3600.0,0,,10.25,9:25am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,0.045,N,,,25.491968,-80.48562,K.elegans,M,6.00,3.23,9.32,12.26,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
39,255,set042-10-25-19-A1.txt,1,A,A-1,42,0,0,0,0,0,0,3599.1,0,,10.25,10:40am,M,North Key Largo,DD,C. corindum ,N,,,,,0.029,N,,,25.28636983,-80.29077075,C.corindum,M,6.23,3.10,8.29,11.01,L,,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
