,ID,filename,channel_num,channel_letter,chamber,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,box,test_date,time_start,sex_x,population,site,host_plant,flew,died,flight_type,flight_details,NOTES,mass,short-wing,eggs,time_end,latitude,longitude,pophost,sex_y,beak,thorax,wing,body,w_morph,notes,date_measured,date_entered,recorder,lat,long
294,50,set073-11-06-19-A3_50.txt,3,A,A-3,73,0,0,0,0,0,0,12461.5,0,,11.06,10:31am,M,Key Largo,JP Grove,C. corindum ,N,,,,,0.05,,,,25.12846,-80.40809,C.corindum,M,6.25,3.37,8.67,11.84,L,,03.19.2020,03.25.2020,AB,25.12846,-80.40809
86,226,set073-11-06-19-A4_226.txt,4,A,A-4,73,0.173,718.6,24.504,0,639.5,0.132,5428.6,0.331,,11.06,8:28am,M,North Key Largo,Carysfort Cr,C. corindum ,Y,,B,bursts,,0.039,,,,25.25647566,-80.31068981,C.corindum,M,6.34,2.91,8.08,11.25,L,,03.23.2020,03.26.2020,AB,25.25647566,-80.31068981
105,155,set073-11-06-19-A4_155.txt,4,A,A-4,73,0,0,0,0,0,0,12516.1,0,,11.06,10:32am,M,Lake Wales,Polk,K. elegans,N,,,,,0.044,,,,27.903346,-81.589461,K.elegans,M,6.07,3.09,8.31,11.48,L,wings torn at end,03.20.2020,03.25.2020,AB,27.903346,-81.589461
110,68,set073-11-06-19-A4_68.txt,4,A,A-4,73,0,0,0.628,0,0,0,7880.1,0,P,11.06,9:15am,M,North Key Largo,Dagny Trellis,C. corindum ,N,,,,,0.08,,Y,,25.1755048,-80.36782055,C.corindum,F,8.26,3.77,10.11,13.74,L,,03.20.2020,03.25.2020,AB,25.1755048,-80.36782055
115,116,set073-11-06-19-A4_116.txt,4,A,A-4,73,0.381,7.2,3.141,0,7.2,0.001,10125.5,0.483,,11.06,9:55am,F,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.039,,,,25.491968,-80.48562,K.elegans,M,6.08,3.05,8.29,11.20,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
199,123,set073-11-06-19-A4_123.txt,4,A,A-4,73,0.31,834.7,3.77,0,832.8,0.017,50411.2,0.314,,11:06,3:35pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.049,,,,25.491968,-80.48562,K.elegans,M,6.12,3.26,9.14,12.22,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
211,92,set073-11-06-19-A4_92.txt,4,A,A-4,73,0.11,0,4.398,0,0,0,18959.6,0,,11.06,12:25pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,0.04,,,,25.491968,-80.48562,K.elegans,M,5.92,3.19,8.71,11.52,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
224,129,set073-11-06-19-A4_129.txt,4,A,A-4,73,0.361,41.1,18.849,0,33.2,0.002,26172.6,0.483,,11.06,2:23pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,*wrong pulled,0.05,,,,25.491968,-80.48562,K.elegans,M,5.58,3.11,8.49,11.18,L,wings torn at end,03.20.2020,03.25.2020,AB,25.491968,-80.48562
276,111,set073-11-06-19-A4_111.txt,4,A,A-4,73,0.195,1578.4,36.441,278.7,715.9,0.638,2474.6,0.449,,11.06,7:43am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.04,,,,25.491968,-80.48562,K.elegans,M,5.38,3.00,8.22,10.99,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
300,84,set073-11-06-19-A4_84.txt,4,A,A-4,73,0.178,91.0,19.477,0,29.1,0.004,21714.8,0.286,,11.06,1:01pm,M,North Key Largo,Dagny 1/2 Loop,C. corindum ,Y,,B,bursts,,0.042,,,,25.173694,-80.371532,C.corindum,M,6.62,2.99,8.62,11.57,L,,03.20.2020,03.25.2020,AB,25.173694,-80.371532
93,101,set073-11-06-19-B1_101.txt,1,B,B-1,73,0.199,1556.6,28.902,0,1393.1,0.291,5354.1,0.393,,11.06,8:30am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.039,,,,25.491968,-80.48562,K.elegans,M,5.84,3.15,8.74,11.55,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
130,120,set073-11-06-19-B1_120.txt,1,B,B-1,73,0.32,13990.1,4437.683,0,13990.1,0.537,26031.1,0.449,,11.06,10:34am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,0.039,,,2:57pm,25.491968,-80.48562,K.elegans,M,5.70,3.23,8.54,11.59,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
159,126,set073-11-06-19-B1_126.txt,1,B,B-1,73,0.41,521.2,212.365,0,474.1,0.052,9998.4,0.698,,11.06,9:58am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.054,,,,25.491968,-80.48562,K.elegans,M,5.88,3.39,9.00,12.18,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
206,276,set073-11-06-19-B1_276.txt,1,B,B-1,73,0.224,633.2,9.425,0,621.9,0.26,2438.1,0.314,,11.06,7:45am,M,North Key Largo,DD,C. corindum ,Y,,B,bursts,,0.054,,,,25.28636983,-80.29077075,C.corindum,M,6.44,3.29,8.69,11.64,L,wings torn at end,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
4,259,set073-11-06-19-B2_259.txt,2,B,B-2,73,0,0,0,0,0,0,19338.9,0,,11.06,12:26pm,M,North Key Largo,DD,C. corindum ,N,,,,,0.045,,,,25.28636983,-80.29077075,C.corindum,M,6.16,3.10,8.34,11.57,L,,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
25,262,set073-11-06-19-B2_262.txt,2,B,B-2,73,0,0,0.628,0,0,0,12396.5,0,,11.06,10:35am,M,North Key Largo,DD,C. corindum ,N,,,,,0.049,,,,25.28636983,-80.29077075,C.corindum,M,6.28,3.11,8.59,11.75,L,,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
216,103,set073-11-06-19-B2_103.txt,2,B,B-2,73,0.248,25.3,10.053,0,14.3,0.003,7917.6,0.37,,11.06,9:18am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.052,,,,25.491968,-80.48562,K.elegans,M,5.86,3.12,8.64,11.82,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
225,129,set073-11-06-19-B2_129.txt,2,B,B-2,73,0.242,614.3,18.221,191.2,389.3,0.249,2467.5,0.331,,11.06,7:45am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.052,,,,25.491968,-80.48562,K.elegans,M,5.58,3.11,8.49,11.18,L,wings torn at end,03.20.2020,03.25.2020,AB,25.491968,-80.48562
236,96,set073-11-06-19-B2_96.txt,2,B,B-2,73,0.391,708.7,11.309,0,662.6,0.033,21601.1,1.257,,11.06,1:10pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.05,,,,25.491968,-80.48562,K.elegans,M,5.69,3.10,8.70,11.60,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
242,136,set073-11-06-19-B2_136.txt,2,B,B-2,73,0.187,6.6,1.885,0,6.6,0.0,23830.5,0.185,,11.06,1:48pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,0.042,,,,25.491968,-80.48562,K.elegans,M,5.50,3.01,8.61,11.37,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
314,90,set073-11-06-19-B2_90.txt,2,B,B-2,73,0,0,0,0,0,0,14475.3,0,P,11.06,11:13am,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,0.07,,,,25.491968,-80.48562,K.elegans,F,7.94,3.75,10.28,13.41,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
347,124,set073-11-06-19-B2_124.txt,2,B,B-2,73,0.306,665.4,4.398,0,661.6,0.066,10064.1,0.419,,11.06,9:59am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.052,,,,25.491968,-80.48562,K.elegans,M,6.06,3.29,8.80,12.10,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
138,67,set073-11-06-19-B3_67.txt,3,B,B-3,73,0.273,641.6,11.938,0,612.1,0.03,21681.3,0.898,P,11.06,1:10pm,M,North Key Largo,Dagny Trellis,C. corindum ,Y,,B,bursts,,0.042,,,,25.1755048,-80.36782055,C.corindum,M,6.23,2.94,7.76,10.94,L,,03.20.2020,03.25.2020,AB,25.1755048,-80.36782055
247,152,set073-11-06-19-B3_152.txt,3,B,B-3,73,0.516,12.9,10.053,0,9.2,0.001,23886.5,0.698,,11.06,1:49pm,M,Lake Wales,Polk,K. elegans,Y,,B,bursts,,0.046,,,,27.903346,-81.589461,K.elegans,M,6.16,3.22,8.75,11.93,L,,03.20.2020,03.25.2020,AB,27.903346,-81.589461
65,223,set073-11-06-19-B4_223.txt,4,B,B-4,73,0,0,0,0,0,0,16685.4,0,,11.06,11:50am,F,North Key Largo,Carysfort Cr,C. corindum ,N,,,,,0.111,,,,25.25647566,-80.31068981,C.corindum,F,8.57,3.59,8.91,12.73,L,,03.23.2020,03.26.2020,AB,25.25647566,-80.31068981
167,288,set073-11-06-19-B4_288.txt,4,B,B-4,73,0.416,121.8,47.751,87.4,87.4,0.005,23957.8,0.571,P,11.06,1:50pm,M,North Key Largo,DD,C. corindum ,Y,,B,bursts,,0.041,,,,25.28636983,-80.29077075,C.corindum,M,5.94,3.07,7.99,10.94,L,,03.24.2020,03.26.2020,AB,25.28636983,-80.29077075
185,235,set073-11-06-19-B4_235.txt,4,B,B-4,73,0.291,77.9,23.247,0,43.1,0.006,12437.8,0.449,,11.06,10:36am,F,North Key Largo,Carysfort Cr,C. corindum ,Y,,B,bursts,,0.115,,Y,,25.25647566,-80.31068981,C.corindum,F,9.09,3.66,9.75,13.43,L,,03.23.2020,03.26.2020,AB,25.25647566,-80.31068981
191,73,set073-11-06-19-B4_73.txt,4,B,B-4,73,0,0,0,0,0,0,14537.4,0,,11.06,11:15am,M,North Key Largo,Dagny Trellis,C. corindum ,N,,,,,0.039,,,,25.1755048,-80.36782055,C.corindum,M,5.92,3.07,8.41,11.38,L,,03.20.2020,03.25.2020,AB,25.1755048,-80.36782055
87,226,set074-11-07-19-A1_226.txt,1,A,A-1,74,0.237,1546.9,3.141,0,1544.7,0.344,4496.6,0.286,,11.07,9:32am,M,North Key Largo,Carysfort Cr,C. corindum ,Y,,B,bursts,,0.037,,,,25.25647566,-80.31068981,C.corindum,M,6.34,2.91,8.08,11.25,L,,03.23.2020,03.26.2020,AB,25.25647566,-80.31068981
106,155,set074-11-07-19-A1_155.txt,1,A,A-1,74,0,0,0,0,0,0,9096.4,0,,11.07,10:47am,M,Lake Wales,Polk,K. elegans,N,,,,,0.042,,,,27.903346,-81.589461,K.elegans,M,6.07,3.09,8.31,11.48,L,wings torn at end,03.20.2020,03.25.2020,AB,27.903346,-81.589461
192,73,set074-11-07-19-A1_73.txt,1,A,A-1,74,0,0,0,0,0,0,11302.0,0,,11.07,11:25am,M,North Key Largo,Dagny Trellis,C. corindum ,N,,,,,0.037,,,,25.1755048,-80.36782055,C.corindum,M,5.92,3.07,8.41,11.38,L,,03.20.2020,03.25.2020,AB,25.1755048,-80.36782055
301,84,set074-11-07-19-A1_84.txt,1,A,A-1,74,0.327,917.9,10.681,0,893.8,0.021,43221.6,0.483,,11.07,1:56pm,M,North Key Largo,Dagny 1/2 Loop,C. corindum ,Y,,B,bursts,,0.05,,,,25.173694,-80.371532,C.corindum,M,6.62,2.99,8.62,11.57,L,,03.20.2020,03.25.2020,AB,25.173694,-80.371532
94,101,set074-11-07-19-A2_101.txt,2,A,A-2,74,0.309,16958.0,4956.03,0,16958.0,0.392,43221.6,0.524,,11.07,9:33am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,0.044,,,2:28pm,25.491968,-80.48562,K.elegans,M,5.84,3.15,8.74,11.55,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
181,109,set074-11-07-19-A3_109.txt,3,A,A-3,74,0.288,22894.0,6499.764,0,20624.9,0.53,43221.6,1.257,,11.07,9:34am,F,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,BC,bursts to continuous,,0.084,,Y,4:02pm,25.491968,-80.48562,K.elegans,F,7.98,3.66,10.23,13.60,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
277,111,set074-11-07-19-A3_111.txt,3,A,A-3,74,0.473,68.3,30.787,0,39.2,0.028,2432.3,0.698,,11.07,8:55am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.041,,,,25.491968,-80.48562,K.elegans,M,5.38,3.00,8.22,10.99,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
207,276,set074-11-07-19-A4_276.txt,4,A,A-4,74,0.445,39522.1,16604.084,0,37000.0,0.914,43221.6,1.257,,11.07,8:56am,M,North Key Largo,DD,C. corindum ,Y,,C,continuous,,0.055,,,7:30pm,25.28636983,-80.29077075,C.corindum,M,6.44,3.29,8.69,11.64,L,wings torn at end,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
26,262,set074-11-07-19-B1_262.txt,1,B,B-1,74,0,0,0,0,0,0,8923.5,0,,11.07,10:48am,M,North Key Largo,DD,C. corindum ,N,,,,,0.046,,,,25.28636983,-80.29077075,C.corindum,M,6.28,3.11,8.59,11.75,L,,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
111,68,set074-11-07-19-B1_68.txt,1,B,B-1,74,0,0,0,0,0,0,4346.1,0,P,11.07,9:35am,M,North Key Largo,Dagny Trellis,C. corindum ,N,,,,,0.078,,Y,,25.1755048,-80.36782055,C.corindum,F,8.26,3.77,10.11,13.74,L,,03.20.2020,03.25.2020,AB,25.1755048,-80.36782055
116,116,set074-11-07-19-B1_116.txt,1,B,B-1,74,0.196,927.8,7.54,0,910.5,0.14,6610.4,0.286,,11.07,10:10am,F,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.038,,,,25.491968,-80.48562,K.elegans,M,6.08,3.05,8.29,11.20,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
226,129,set074-11-07-19-B1_129.txt,1,B,B-1,74,0.152,1058.7,12.566,190.9,794.3,0.462,2293.5,0.273,,11.07,8:57am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.045,,,,25.491968,-80.48562,K.elegans,M,5.58,3.11,8.49,11.18,L,wings torn at end,03.20.2020,03.25.2020,AB,25.491968,-80.48562
66,223,set074-11-07-19-B2_223.txt,2,B,B-2,74,0,0,0,0,0,0,17300.0,0,,11.07,11:28am,F,North Key Largo,Carysfort Cr,C. corindum ,N,,,,,0.124,,,,25.25647566,-80.31068981,C.corindum,F,8.57,3.59,8.91,12.73,L,,03.23.2020,03.26.2020,AB,25.25647566,-80.31068981
160,126,set074-11-07-19-B2_126.txt,2,B,B-2,74,0.33,229.5,74.139,208.3,208.3,0.034,6665.7,0.483,,11.07,10:11am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.055,,,,25.491968,-80.48562,K.elegans,M,5.88,3.39,9.00,12.18,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
186,235,set074-11-07-19-B2_235.txt,2,B,B-2,74,0.298,1366.4,30.787,163.8,708.8,0.151,9062.1,0.483,,11.07,10:49am,F,North Key Largo,Carysfort Cr,C. corindum ,Y,,B,bursts,,0.105,,Y,,25.25647566,-80.31068981,C.corindum,F,9.09,3.66,9.75,13.43,L,,03.23.2020,03.26.2020,AB,25.25647566,-80.31068981
212,92,set074-11-07-19-B3_92.txt,3,B,B-3,74,0,0,0,0,0,0,17300.0,0,,11.07,11:29am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,0.044,,,,25.491968,-80.48562,K.elegans,M,5.92,3.19,8.71,11.52,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
348,124,set074-11-07-19-B3_124.txt,3,B,B-3,74,0,0,0,0,0,0,6709.5,0,,11.07,10:12am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,0.05,,,,25.491968,-80.48562,K.elegans,M,6.06,3.29,8.80,12.10,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
5,259,set074-11-07-19-B4_259.txt,4,B,B-4,74,0,0,0,0,0,0,17300.0,0,,11.07,11:30am,M,North Key Largo,DD,C. corindum ,N,,,,,0.044,,,,25.28636983,-80.29077075,C.corindum,M,6.16,3.10,8.34,11.57,L,,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
58,257,set074-11-07-19-B4_257.txt,4,B,B-4,74,0.353,41.0,14.451,0,41.0,0.017,2347.0,0.483,P,11.07,9:00am,M,North Key Largo,DD,C. corindum ,Y,,B,bursts,,0.034,,,,25.28636983,-80.29077075,C.corindum,M,5.56,2.67,7.25,10.31,L,wings torn at end,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
217,103,set074-11-07-19-B4_103.txt,4,B,B-4,74,0.32,35.2,13.823,0,18.6,0.008,4620.1,0.524,,11.07,9:36am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.049,,,,25.491968,-80.48562,K.elegans,M,5.86,3.12,8.64,11.82,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
295,50,set074-11-07-19-B4_50.txt,4,B,B-4,74,0,0,0,0,0,0,6767.1,0,,11.07,10:14am,M,Key Largo,JP Grove,C. corindum ,N,,,,,0.044,,,,25.12846,-80.40809,C.corindum,M,6.25,3.37,8.67,11.84,L,,03.19.2020,03.25.2020,AB,25.12846,-80.40809
315,90,set074-11-07-19-B4_90.txt,4,B,B-4,74,0,0,0,0,0,0,9127.1,0,P,11.07,10:50am,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,0.063,,,,25.491968,-80.48562,K.elegans,F,7.94,3.75,10.28,13.41,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
237,96,set075-11-07-19-B2_96.txt,2,B,B-2,75,0.225,19.9,6.911,0,8.8,0.006,3532.8,0.349,,11.07,1:59pm,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.048,,,,25.491968,-80.48562,K.elegans,M,5.69,3.10,8.70,11.60,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
139,67,set075-11-07-19-B3_67.txt,3,B,B-3,75,0.287,892.7,6.911,0,880.8,0.253,3532.8,0.419,P,11.07,2:02pm,M,North Key Largo,Dagny Trellis,C. corindum ,Y,,B,bursts,,0.041,,,,25.1755048,-80.36782055,C.corindum,M,6.23,2.94,7.76,10.94,L,,03.20.2020,03.25.2020,AB,25.1755048,-80.36782055
59,257,set076-11-08-19-A1_257.txt,1,A,A-1,76,0.222,30.1,7.54,0,30.1,0.004,6721.1,0.273,P,11.08,10:16am,M,North Key Largo,DD,C. corindum ,Y,,B,bursts,,0.036,,,,25.28636983,-80.29077075,C.corindum,M,5.56,2.67,7.25,10.31,L,wings torn at end,03.23.2020,03.26.2020,AB,25.28636983,-80.29077075
243,136,set076-11-08-19-A1_136.txt,1,A,A-1,76,0,0,0.628,0,0,0,27049.6,0,,11.08,10:55am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.036,,,,25.491968,-80.48562,K.elegans,M,5.50,3.01,8.61,11.37,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
248,152,set076-11-08-19-A1_152.txt,1,A,A-1,76,0.379,2239.0,794.799,0,1720.1,0.514,4355.3,0.571,,11.08,9:02am,M,Lake Wales,Polk,K. elegans,Y,,C,continuous,,0.043,,,9:54am,27.903346,-81.589461,K.elegans,M,6.16,3.22,8.75,11.93,L,,03.20.2020,03.25.2020,AB,27.903346,-81.589461
88,226,set076-11-08-19-A2_226.txt,2,A,A-2,76,0.218,199.1,6.911,167.2,167.2,0.007,27049.6,0.331,,11.08,10:18am,M,North Key Largo,Carysfort Cr,C. corindum ,Y,,B,bursts,,0.04,,,,25.25647566,-80.31068981,C.corindum,M,6.34,2.91,8.08,11.25,L,,03.23.2020,03.26.2020,AB,25.25647566,-80.31068981
168,288,set076-11-08-19-A2_288.txt,2,A,A-2,76,0.29,3438.7,906.637,0,3438.7,0.77,4463.4,0.483,P,11.08,9:03am,M,North Key Largo,DD,C. corindum ,Y,,BC,bursts to continuous,,0.039,,,10:05am,25.28636983,-80.29077075,C.corindum,M,5.94,3.07,7.99,10.94,L,,03.24.2020,03.26.2020,AB,25.28636983,-80.29077075
200,123,set076-11-08-19-A3_123.txt,3,A,A-3,76,0,0,0,0,0,0,2159.4,0,,11.08,9:04am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.043,,,,25.491968,-80.48562,K.elegans,M,6.12,3.26,9.14,12.22,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
218,103,set076-11-08-19-A3_103.txt,3,A,A-3,76,0.62,137.6,73.511,97.7,97.7,0.005,27049.6,1.257,,11.08,10:18am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.048,,,,25.491968,-80.48562,K.elegans,M,5.86,3.12,8.64,11.82,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
117,116,set076-11-08-19-B1_116.txt,1,B,B-1,76,0.106,0,1.885,0,0,0,7128.9,0,,11.08,10:20am,F,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.036,,,,25.491968,-80.48562,K.elegans,M,6.08,3.05,8.29,11.20,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
161,126,set076-11-08-19-B2_126.txt,2,B,B-2,76,0.266,2053.5,515.834,0,1059.9,0.288,7128.9,0.419,,11.08,10:21am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,0.055,,,11:04am,25.491968,-80.48562,K.elegans,M,5.88,3.39,9.00,12.18,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
278,111,set076-11-08-19-B2_111.txt,2,B,B-2,76,0.346,758.2,17.592,132.2,599.5,0.168,4524.9,0.524,,11.08,9:42am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.043,,,,25.491968,-80.48562,K.elegans,M,5.38,3.00,8.22,10.99,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
349,124,set076-11-08-19-B3_124.txt,3,B,B-3,76,0,0,1.257,0,0,0,7128.9,0,,11.08,10:21am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.054,,,,25.491968,-80.48562,K.elegans,M,6.06,3.29,8.80,12.10,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
187,235,set076-11-08-19-B4_235.txt,4,B,B-4,76,0.319,78.2,26.389,0,30.6,0.011,7128.9,0.524,,11.08,10:22am,F,North Key Largo,Carysfort Cr,C. corindum ,Y,,B,bursts,,0.099,,Y,,25.25647566,-80.31068981,C.corindum,F,9.09,3.66,9.75,13.43,L,,03.23.2020,03.26.2020,AB,25.25647566,-80.31068981
227,129,set076-11-08-19-B4_129.txt,4,B,B-4,76,0.325,91.4,19.477,0,39.9,0.02,4602.5,0.524,,11.08,9:43am,M,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,0.053,,,,25.491968,-80.48562,K.elegans,M,5.58,3.11,8.49,11.18,L,wings torn at end,03.20.2020,03.25.2020,AB,25.491968,-80.48562
67,139,set008-10-16-19-A1.txt,1,A,A-1,8,0.245,192.4,8.796,131.3,131.3,0.107,1800.0,0.449,Petri1,10.16,12:25,F,Lake Wales,Polk,K. elegans,N,,,,,,,Y,,27.903346,-81.589461,K.elegans,F,6.97,3.45,9.61,12.86,L,,03.20.2020,03.25.2020,AB,27.903346,-81.589461
70,407,set008-10-16-19-A3.txt,3,A,A-3,8,0,0,0,0,0,0,1800.0,0,D,10.16,12:25,M,Gainesville,NW 10th Ave & 18th St,K. elegans,N,,,,,,,,,29.661821,-82.347211,K.elegans,M,5.98,3.08,8.61,11.28,L,wings torn at end,03.24.2020,03.26.2020,AB,29.661821,-82.347211
71,191,set008-10-16-19-B1.txt,1,B,B-1,8,0,0,0,0,0,0,1800.0,0,E,10.16,12:25,M,North Key Largo,N. Dagny,C. corindum ,N,Y,,,,,,,,25.18229498,-80.36369887,C.corindum,M,6.03,3.04,8.25,11.01,L,,03.23.2020,03.26.2020,AB,25.18229498,-80.36369887
72,424,set009-10-17-19-A4.txt,4,A,A-4,9,0,0,0,0,0,0,1800.0,0,D,10.17,9:40,M,Gainesville,NW 10th Ave & 18th St,K. elegans,N,Y,,,,,,,,29.661821,-82.347211,K.elegans,M,5.60,3.41,9.25,12.19,L,,03.24.2020,03.26.2020,AB,29.661821,-82.347211
73,131,set009-10-17-19-B2.txt,2,B,B-2,9,0,0,0.628,0,0,0,1800.0,0,B,10.17,9:40,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,,,Y,,25.491968,-80.48562,K.elegans,F,7.97,3.91,9.98,13.19,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
75,98,set009-10-17-19-B3.txt,3,B,B-3,9,0,0,0,0,0,0,1800.0,0,Petri1,10.17,9:40,F,Homestead,SW 296th St & 182nd Ave,K. elegans,N,,,,,,,Y,,25.491968,-80.48562,K.elegans,F,7.88,4.07,10.46,14.08,L,,03.20.2020,03.25.2020,AB,25.491968,-80.48562
