gen1_ID,MID,collect_date,hatch_date,wing_date,death_date,pop,host,sex,S-wing,viable
1001,114,8.17.21,8.20.21,,,KL,,,,
1002,114,8.17.21,8.20.21,,,KL,,,,
1003,114,8.17.21,8.20.21,,,KL,,,,
1004,114,8.17.21,,,,KL,,,,
1005,114,8.17.21,8.20.21,,,KL,,,,
1006,114,8.17.21,,,,KL,,,,
1007,114,8.17.21,8.20.21,,,KL,,,,
1008,114,8.17.21,8.20.21,,,KL,,,,
1009,114,8.17.21,8.20.21,,,KL,,,,
1010,114,8.17.21,8.26.21,,,KL,,,,
1011,114,8.17.21,8.20.21,,,KL,,,,
1012,114,8.17.21,,,,KL,,,,
1013,114,8.17.21,8.26.21,,,KL,,,,
1014,114,8.17.21,8.20.21,,,KL,,,,
1015,114,8.17.21,8.20.21,,,KL,,,,
1016,114,8.17.21,8.26.21,,,KL,,,,
1017,114,8.17.21,8.20.21,,,KL,,,,
1018,114,8.17.21,,,,KL,,,,
1019,114,8.17.21,8.26.21,,,KL,,,,
1020,114,8.17.21,8.29.21,,,KL,,,,
1021,119,8.19.21,8.29.21,,,KL,,,,
1022,119,8.19.21,8.29.21,,,KL,,,,
1023,119,8.19.21,8.29.21,,,KL,,,,
1024,119,8.19.21,8.29.21,,,KL,,,,
1025,119,8.19.21,8.29.21,,,KL,,,,
1026,119,8.19.21,8.29.21,,,KL,,,,
1027,119,8.19.21,8.29.21,,,KL,,,,
1028,119,8.19.21,,,,KL,,,,
1029,119,8.19.21,8.29.21,,,KL,,,,
1030,119,8.19.21,8.29.21,,,KL,,,,
1031,119,8.19.21,8.29.21,,,KL,,,,
1032,16,8.19.21,8.29.21,,,KL,,,,
1033,16,8.19.21,8.27.21,,,KL,,,,
1034,16,8.19.21,,,,KL,,,,
1035,16,8.19.21,8.20.21,,,KL,,,,
1036,16,8.19.21,8.29.21,,,KL,,,,
1037,16,8.19.21,8.29.21,,,KL,,,,
1038,16,8.19.21,8.27.21,,,KL,,,,
1039,16,8.19.21,8.20.21,,,KL,,,,
1040,16,8.19.21,8.27.21,,,KL,,,,
1041,16,8.19.21,8.20.21,,,KL,,,,
1042,16,8.19.21,8.27.21,,,KL,,,,
1043,16,8.19.21,8.20.21,,,KL,,,,
1044,16,8.19.21,,,,KL,,,,
1045,16,8.19.21,,,,KL,,,,
1046,16,8.19.21,8.29.21,,,KL,,,,
1047,16,8.19.21,8.20.21,,,KL,,,,
1048,16,8.19.21,8.27.21,,,KL,,,,
1049,16,8.19.21,8.27.21,,,KL,,,,
1050,16,8.19.21,8.27.21,,,KL,,,,
1051,16,8.19.21,8.27.21,,,KL,,,,
1052,16,8.19.21,8.27.21,,,KL,,,,
1053,16,8.19.21,8.29.21,,,KL,,,,
1054,16,8.19.21,,,,KL,,,,
1055,16,8.19.21,8.29.21,,,KL,,,,
1056,16,8.19.21,8.29.21,,,KL,,,,
1057,16,8.19.21,8.29.21,,,KL,,,,
1058,16,8.19.21,,,,KL,,,,
1059,16,8.19.21,,,,KL,,,,
1060,16,8.19.21,8.27.21,,,KL,,,,
1061,16,8.19.21,8.29.21,,,KL,,,,
1062,16,8.19.21,8.29.21,,,KL,,,,
1063,16,8.19.21,8.27.21,,,KL,,,,
1064,16,8.19.21,8.27.21,,,KL,,,,
1065,16,8.19.21,8.25.21,,,KL,,,,
1066,16,8.19.21,8.27.21,,,KL,,,,
1067,16,8.19.21,8.27.21,,,KL,,,,
1068,16,8.19.21,8.29.21,,,KL,,,,
1069,16,8.19.21,,,,KL,,,,
1070,16,8.19.21,,,,KL,,,,
1071,16,8.19.21,8.25.21,,,KL,,,,
1072,118,8.19.21,8.19.21,,,KL,,,,
1073,118,8.19.21,8.19.21,,,KL,,,,
1074,118,8.19.21,8.19.21,,,KL,,,,
1075,118,8.19.21,8.19.21,,,KL,,,,
1076,118,8.19.21,8.19.21,,,KL,,,,
1077,118,8.19.21,8.19.21,,,KL,,,,
1078,118,8.19.21,8.19.21,,,KL,,,,
1079,118,8.19.21,,,,KL,,,,
1080,118,8.19.21,,,,KL,,,,
1081,118,8.19.21,8.27.21,,,KL,,,,
1082,118,8.19.21,8.19.21,,,KL,,,,
1083,118,8.19.21,8.19.21,,,KL,,,,
1084,118,8.19.21,8.19.21,,,KL,,,,
1085,118,8.19.21,8.29.21,,,KL,,,,
1086,118,8.19.21,8.27.21,,,KL,,,,
1087,118,8.19.21,8.30.21,,,KL,,,,
1088,118,8.19.21,,,,KL,,,,
1089,118,8.19.21,,,,KL,,,,
1090,118,8.19.21,8.27.21,,,KL,,,,
1091,118,8.19.21,,,,KL,,,,
1092,118,8.19.21,8.29.21,,,KL,,,,
1093,118,8.19.21,,,,KL,,,,
1094,118,8.19.21,,,,KL,,,,
1095,118,8.19.21,,,,KL,,,,
1096,211,8.19.21,,,,KL,,,,
1097,211,8.19.21,,,,KL,,,,
1098,211,8.19.21,,,,KL,,,,
1099,211,8.19.21,,,,KL,,,,
1100,211,8.19.21,,,,KL,,,,
1101,211,8.19.21,,,,KL,,,,
1102,211,8.19.21,,,,KL,,,,
1103,211,8.19.21,,,,KL,,,,
1104,114,8.19.21,8.29.21,,,KL,,,,
1105,114,8.19.21,8.29.21,,,KL,,,,
1106,114,8.19.21,8.29.21,,,KL,,,,
1107,114,8.19.21,8.29.21,,,KL,,,,
1108,114,8.19.21,8.29.21,,,KL,,,,
1109,114,8.19.21,8.29.21,,,KL,,,,
1110,114,8.19.21,,,,KL,,,,
1111,114,8.19.21,8.30.21,,,KL,,,,
1112,114,8.19.21,8.29.21,,,KL,,,,
1113,114,8.19.21,8.29.21,,,KL,,,,
1114,114,8.19.21,8.29.21,,,KL,,,,
1115,114,8.19.21,,,,KL,,,,
1116,114,8.19.21,8.29.21,,,KL,,,,
1117,114,8.19.21,8.29.21,,,KL,,,,
1118,114,8.19.21,8.29.21,,,KL,,,,
1119,114,8.19.21,8.29.21,,,KL,,,,
1120,114,8.19.21,8.29.21,,,KL,,,,
1121,114,8.19.21,8.29.21,,,KL,,,,
1122,114,8.19.21,8.27.21,,,KL,,,,
1123,114,8.19.21,8.27.21,,,KL,,,,
1124,114,8.19.21,8.29.21,,,KL,,,,
1125,114,8.19.21,8.29.21,,,KL,,,,
1126,119,8.19.21,,,,KL,,,,
1127,119,8.19.21,8.26.21,,,KL,,,,
1128,119,8.19.21,8.27.21,,,KL,,,,
1129,119,8.19.21,8.27.21,,,KL,,,,
1130,119,8.19.21,8.25.21,,,KL,,,,
1131,119,8.19.21,8.26.21,,,KL,,,,
1132,119,8.19.21,,,,KL,,,,
1133,119,8.19.21,8.25.21,,,KL,,,,
1134,119,8.19.21,8.25.21,,,KL,,,,
1135,119,8.19.21,8.26.21,,,KL,,,,
1136,119,8.19.21,8.25.21,,,KL,,,,
1137,119,8.19.21,8.26.21,,,KL,,,,
1138,119,8.19.21,8.26.21,,,KL,,,,
1139,119,8.19.21,8.27.21,,,KL,,,,
1140,119,8.19.21,8.27.21,,,KL,,,,
1141,119,8.19.21,8.26.21,,,KL,,,,
1142,335,8.17.21,8.19.21,,,PK,,,,
1143,335,8.17.21,8.19.21,,,PK,,,,
1144,335,8.17.21,8.19.21,,,PK,,,,
1145,335,8.17.21,8.19.21,,,PK,,,,
1146,335,8.17.21,8.19.21,,,PK,,,,
1147,335,8.17.21,8.19.21,,,PK,,,,
1148,335,8.17.21,8.19.21,,,PK,,,,
1149,335,8.17.21,8.19.21,,,PK,,,,
1150,335,8.17.21,8.27.21,,,PK,,,,
1151,335,8.17.21,,,,PK,,,,
1152,335,8.17.21,,,,PK,,,,
1153,335,8.17.21,,,,PK,,,,
1154,335,8.17.21,,,,PK,,,,
1155,335,8.17.21,,,,PK,,,,
1156,335,8.17.21,,,,PK,,,,
1157,335,8.17.21,,,,PK,,,,
1158,335,8.17.21,,,,PK,,,,
1159,329,8.19.21,8.30.21,,,PK,,,,
1160,329,8.19.21,8.29.21,,,PK,,,,
1161,329,8.19.21,8.30.21,,,PK,,,,
1162,329,8.19.21,8.29.21,,,PK,,,,
1163,329,8.19.21,8.30.21,,,PK,,,,
1164,329,8.19.21,8.30.21,,,PK,,,,
1165,329,8.19.21,8.30.21,,,PK,,,,
1166,329,8.19.21,8.30.21,,,PK,,,,
1167,329,8.19.21,8.29.21,,,PK,,,,
1168,329,8.19.21,8.30.21,,,PK,,,,
1169,329,8.19.21,8.30.21,,,PK,,,,
1170,329,8.19.21,8.31.21,,,PK,,,,
1171,329,8.19.21,,,,PK,,,,
1172,329,8.19.21,8.29.21,,,PK,,,,
1173,92,8.19.21,8.26.21,,,GV,,,,
1174,92,8.19.21,8.27.21,,,GV,,,,
1175,92,8.19.21,,,,GV,,,,
1176,92,8.19.21,8.27.21,,,GV,,,,
1177,92,8.19.21,,,,GV,,,,
1178,92,8.19.21,,,,GV,,,,
1179,92,8.19.21,,,,GV,,,,
1180,92,8.19.21,,,,GV,,,,
1181,92,8.19.21,8.25.21,,,GV,,,,
1182,92,8.19.21,,,,GV,,,,
1183,92,8.19.21,,,,GV,,,,
1184,92,8.19.21,,,,GV,,,,
1185,92,8.19.21,8.27.21,,,GV,,,,
1186,92,8.19.21,8.26.21,,,GV,,,,
1187,92,8.19.21,,,,GV,,,,
1188,92,8.19.21,8.27.21,,,GV,,,,
1189,92,8.19.21,,,,GV,,,,
1190,92,8.19.21,8.26.21,,,GV,,,,
1191,92,8.19.21,8.27.21,,,GV,,,,
1192,92,8.19.21,8.26.21,,,GV,,,,
1193,92,8.19.21,8.27.21,,,GV,,,,
1194,92,8.19.21,,,,GV,,,,
1195,92,8.19.21,,,,GV,,,,
1196,92,8.19.21,,,,GV,,,,
1197,92,8.19.21,8.27.21,,,GV,,,,
1198,92,8.19.21,8.27.21,,,GV,,,,
1199,92,8.19.21,,,,GV,,,,
1200,92,8.19.21,,,,GV,,,,
1201,92,8.19.21,,,,GV,,,,
1202,92,8.19.21,,,,GV,,,,
1203,20,8.25.21,8.25.21,,,KL,,,,
1204,20,8.25.21,8.25.21,,,KL,,,,
1205,114,8.25.21,,,,KL,,,,
1206,114,8.25.21,8.29.21,,,KL,,,,
1207,114,8.25.21,9.2.21,,,KL,,,,
1208,114,8.25.21,8.31.21,,,KL,,,,
1209,114,8.25.21,9.2.21,,,KL,,,,
1210,114,8.25.21,8.30.21,,,KL,,,,
1211,114,8.25.21,9.1.21,,,KL,,,,
1212,114,8.25.21,8.31.21,,,KL,,,,
1213,114,8.25.21,9.2.21,,,KL,,,,
1214,114,8.25.21,9.2.21,,,KL,,,,
1215,114,8.25.21,9.2.21,,,KL,,,,
1216,114,8.25.21,,,,KL,,,,
1217,114,8.25.21,,,,KL,,,,
1218,114,8.25.21,9.1.21,,,KL,,,,
1219,114,8.25.21,8.31.21,,,KL,,,,
1220,114,8.25.21,,,,KL,,,,
1221,114,8.25.21,,,,KL,,,,
1222,114,8.25.21,,,,KL,,,,
1223,114,8.25.21,9.1.21,,,KL,,,,
1224,114,8.25.21,,,,KL,,,,
1225,114,8.25.21,9.1.21,,,KL,,,,
1226,114,8.25.21,,,,KL,,,,
1227,114,8.25.21,9.2.21,,,KL,,,,
1228,114,8.25.21,9.1.21,,,KL,,,,
1229,114,8.25.21,,,,KL,,,,
1230,114,8.25.21,,,,KL,,,,
1231,114,8.25.21,8.31.21,,,KL,,,,
1232,114,8.25.21,,,,KL,,,,
1233,114,8.25.21,9.1.21,,,KL,,,,
1234,114,8.25.21,8.31.21,,,KL,,,,
1235,114,8.25.21,8.29.21,,,KL,,,,
1236,114,8.25.21,9.1.21,,,KL,,,,
1237,114,8.25.21,,,,KL,,,,
1238,114,8.25.21,,,,KL,,,,
1239,114,8.25.21,,,,KL,,,,
1240,114,8.25.21,8.30.21,,,KL,,,,
1241,114,8.25.21,,,,KL,,,,
1242,114,8.25.21,,,,KL,,,,
1243,114,8.25.21,,,,KL,,,,
1244,114,8.25.21,9.2.21,,,KL,,,,
1245,114,8.25.21,8.30.21,,,KL,,,,
1246,114,8.25.21,,,,KL,,,,
1247,114,8.25.21,,,,KL,,,,
1248,114,8.25.21,,,,KL,,,,
1249,114,8.25.21,8.30.21,,,KL,,,,
1250,114,8.25.21,9.9.21,,,KL,,,,
1251,114,8.25.21,,,,KL,,,,
1252,114,8.25.21,8.30.21,,,KL,,,,
1253,114,8.25.21,,,,KL,,,,
1254,114,8.25.21,,,,KL,,,,
1255,16,8.27.21,9.1.21,,,KL,,,,
1256,16,8.27.21,8.29.21,,,KL,,,,
1257,16,8.27.21,9..21,,,KL,,,,
1258,16,8.27.21,,,,KL,,,,
1259,16,8.27.21,8.31.21,,,KL,,,,
1260,16,8.27.21,8.30.21,,,KL,,,,
1261,16,8.27.21,,,,KL,,,,
1262,16,8.27.21,9.2.21,,,KL,,,,
1263,16,8.27.21,,,,KL,,,,
1264,16,8.27.21,8.30.21,,,KL,,,,
1265,16,8.27.21,8.29.21,,,KL,,,,
1266,16,8.27.21,,,,KL,,,,
1267,16,8.27.21,,,,KL,,,,
1268,16,8.27.21,8.29.21,,,KL,,,,
1269,16,8.27.21,9.2.21,,,KL,,,,
1270,16,8.27.21,9.9.21,,,KL,,,,
1271,16,8.27.21,,,,KL,,,,
1272,16,8.27.21,9.2.21,,,KL,,,,
1273,16,8.27.21,8.31.21,,,KL,,,,
1274,16,8.27.21,9.2.21,,,KL,,,,
1275,16,8.27.21,9.2.21,,,KL,,,,
1276,16,8.27.21,,,,KL,,,,
1277,16,8.27.21,,,,KL,,,,
1278,16,8.27.21,,,,KL,,,,
1279,16,8.27.21,,,,KL,,,,
1280,16,8.27.21,,,,KL,,,,
1281,16,8.27.21,8.29.21,,,KL,,,,
1282,16,8.27.21,8.31.21,,,KL,,,,
1283,16,8.27.21,8.29.21,,,KL,,,,
1284,16,8.27.21,8.31.21,,,KL,,,,
1285,16,8.27.21,9.1.21,,,KL,,,,
1286,16,8.27.21,9.1.21,,,KL,,,,
