ID,died,date_died,sex ,population,site,host_plant,S-wing
1,Y,8.26.21,M,Plantation Key,Founder's,C. corindum,N
2,,,F,Plantation Key,Founder's,C. corindum,N
3,,,F,Plantation Key,Founder's,C. corindum,N
4,,,M,Plantation Key,Founder's,C. corindum,N
5,,,M,Plantation Key,Founder's,C. corindum,N
6,Y,8.16.21,F,Plantation Key,Founder's,C. corindum,N
7,,,M,Plantation Key,Founder's,C. corindum,N
8,,,M,Plantation Key,Founder's,C. corindum,N
9,,,F,Plantation Key,Founder's,C. corindum,N
10,,,M,Plantation Key,Founder's,C. corindum,N
11,,,M,Key Largo,JP Employee,C. corindum,N
12,,,F,Key Largo,JP Grove,C. corindum,N
13,Y,8.17.21,F,Key Largo,JP Grove,C. corindum,N
14,Y,8.26.21,M,Key Largo,JP Grove,C. corindum,N
15,,,M,Key Largo,JP Grove,C. corindum,N
16,,,F,Key Largo,JP Grove,C. corindum,N
17,Y,8.23.21,F,Key Largo,JP Grove,C. corindum,N
18,Y,8.23.21,M,Key Largo,JP Grove,C. corindum,N
19,Y,8.23.21,M,Key Largo,JP Grove,C. corindum,N
20,Y,8.25.21,F,Key Largo,JP Grove,C. corindum,N
21,Y,8.16.21,M,North Key Largo,N. Dagny,C. corindum,N
22,,,F,Homstead,296st&Roberts ,K. elegans,N
23,,,M,Homstead,296st&Roberts ,K. elegans,N
24,,,F,Homstead,296st&Roberts ,K. elegans,N
25,,,F,Homstead,296st&Roberts ,K. elegans,N
26,,,M,Homstead,296st&Roberts ,K. elegans,N
27,,,M,Homstead,296st&Roberts ,K. elegans,N
28,,,F,Homstead,296st&Roberts ,K. elegans,N
29,,,F,Homstead,296st&Roberts ,K. elegans,N
30,Y,8.17.21,M,Homstead,296st&Roberts ,K. elegans,N
31,,,M,Homstead,296st&Roberts ,K. elegans,N
32,,,F,Homstead,296st&Roberts ,K. elegans,N
33,,,F,Homstead,296st&Roberts ,K. elegans,N
34,,,M,Homstead,296st&Roberts ,K. elegans,N
35,,,M,Homstead,296st&Roberts ,K. elegans,N
36,,,F,Homstead,296st&Roberts ,K. elegans,N
37,Y,8.25.21,M,Homstead,296st&Roberts ,K. elegans,N
38,,,M,Homstead,296st&Roberts ,K. elegans,N
39,,,F,Homstead,296st&Roberts ,K. elegans,N
40,Y,8.17.21,F,Homstead,296st&Roberts ,K. elegans,N
41,Y,9.7.21,F,Homstead,296st&Roberts ,K. elegans,N
42,,,M,Homstead,296st&Roberts ,K. elegans,N
43,,,F,Homstead,296st&Roberts ,K. elegans,N
44,Y,8.19.21,M,Homstead,296st&Roberts ,K. elegans,N
45,,,M,Homstead,296st&Roberts ,K. elegans,N
46,Y,8.24.21,M,Lake Placid,Sheriff's,K. elegans,N
47,Y,8.29.21,F,Lake Placid,Sheriff's,K. elegans,N
48,Y,8.24.21,M,Lake Placid,Sheriff's,K. elegans,N
49,Y,8.25.21,M,Lake Placid,Sheriff's,K. elegans,N
50,,,M,Lake Placid,Sheriff's,K. elegans,N
51,Y,8.23.21,F,Lake Placid,Sheriff's,K. elegans,N
52,Y,9.23.21,M,Lake Placid,Sheriff's,K. elegans,N
53,Y,8.15.21,F,Lake Placid,Sheriff's,K. elegans,N
54,Y,8.24.21,M,Lake Placid,Sheriff's,K. elegans,N
55,Y,8.23.21,F,Lake Placid,Sheriff's,K. elegans,N
56,,,M,Lake Placid,Sheriff's,K. elegans,N
57,Y,9.7.21,F,Lake Placid,Sheriff's,K. elegans,N
58,Y,8.23.21,M,Lake Placid,Sheriff's,K. elegans,N
59,Y,8.18.21,F,Lake Placid,Sheriff's,K. elegans,N
60,,,F,Lake Placid,Sheriff's,K. elegans,N
61,,,F,Lake Placid,Sheriff's,K. elegans,N
62,,,F,Lake Placid,Sheriff's,K. elegans,N
63,,,M,Lake Placid,Sheriff's,K. elegans,N
64,Y,8.29.21,M,Lake Placid,Sheriff's,K. elegans,N
65,,,F,Lake Placid,Sheriff's,K. elegans,N
66,,,M,Lake Wales,Alley,K. elegans,N
67,Y,9.7.21,F,Lake Wales,Alley,K. elegans,N
68,Y,8.20.21,F,Lake Wales,Alley,K. elegans,N
69,,,M,Lake Wales,Alley,K. elegans,N
70,,,F,Lake Wales,Alley,K. elegans,N
71,Y,8.23.21,F,Lake Wales,Alley,K. elegans,N
72,Y,8.29.21,F,Lake Wales,Alley,K. elegans,N
73,Y,9.7.21,F,Lake Wales,Alley,K. elegans,N
74,Y,9.7.21,F,Lake Wales,Alley,K. elegans,N
75,,,F,Lake Wales,Alley,K. elegans,N
76,Y,8.18.21,F,Lake Wales,Alley,K. elegans,N
77,Y,8.15.21,F,Lake Wales,Alley,K. elegans,N
78,,,F,Lake Wales,Alley,K. elegans,N
79,Y,8.24.21,M,Lake Wales,Alley,K. elegans,N
80,Y,8.16.21,F,Lake Wales,Alley,K. elegans,N
81,Y,8.15.21,F,Leesburg,Vet's Park,K. elegans,N
82,Y,8.15.21,M,Leesburg,Vet's Park,K. elegans,N
83,Y,8.23.21,F,Leesburg,Vet's Park,K. elegans,N
84,Y,8.26.21,F,Leesburg,Vet's Park,K. elegans,N
85,,,M,Leesburg,Vet's Park,K. elegans,N
86,Y,8.26.21,F,Leesburg,Vet's Park,K. elegans,N
87,Y,8.17.21,M,Leesburg,Vet's Park,K. elegans,N
88,Y,8.29.21,F,Leesburg,Vet's Park,K. elegans,N
89,,,F,Leesburg,Vet's Park,K. elegans,N
90,Y,8.29.21,F,Leesburg,Vet's Park,K. elegans,N
91,Y,8.16.21,F,Gainesville,8th Ave,K. elegans,N
92,Y,8.20.21,F,Gainesville,8th Ave,K. elegans,N
93,Y,8.15.21,F,Gainesville,8th Ave,K. elegans,N
94,Y,8.18.21,F,Gainesville,8th Ave,K. elegans,N
95,Y,8.16.21,M,Gainesville,8th Ave,K. elegans,N
96,,,M,Gainesville,8th Ave,K. elegans,N
97,Y,8.25.21,M,Gainesville,8th Ave,K. elegans,N
98,Y,8.15.21,M,Gainesville,8th Ave,K. elegans,N
99,Y,8.15.21,M,Gainesville,8th Ave,K. elegans,N
100,Y,8.16.21,M,Gainesville,8th Ave,K. elegans,N
101,,,M,Plantation Key,Founder's,C. corindum,N
102,,,F,Plantation Key,Founder's,C. corindum,N
103,,,F,Plantation Key,Founder's,C. corindum,N
104,,,F,Plantation Key,Founder's,C. corindum,N
105,,,M,Plantation Key,Founder's,C. corindum,N
106,,,M,Plantation Key,Founder's,C. corindum,N
107,,,M,Plantation Key,Founder's,C. corindum,N
108,,,M,Plantation Key,Founder's,C. corindum,N
109,Y,9.1.21,F,Plantation Key,Founder's,C. corindum,N
110,Y,9.1.21,F,Plantation Key,Founder's,C. corindum,N
111,Y,8.19.21,F,Key Largo,JP Grove,C. corindum,N
112,,,M,Key Largo,JP Grove,C. corindum,N
113,,,M,Key Largo,JP Grove,C. corindum,N
114,Y,9.1.21,F,Key Largo,JP Grove,C. corindum,N
115,Y,8.16.21,M,Key Largo,JP Grove,C. corindum,N
116,,,M,Key Largo,JP Grove,C. corindum,N
117,,,M,Key Largo,JP Grove,C. corindum,N
118,Y,8.26.21,F,Key Largo,JP Grove,C. corindum,N
119,Y,8.31.21,F,Key Largo,JP Grove,C. corindum,N
120,Y,9.7.21,M,Key Largo,JP Grove,C. corindum,N
121,,,M,Homestead,296st&Roberts ,K. elegans,N
122,Y,8.29.21,M,Homestead,296st&Roberts ,K. elegans,N
123,Y,8.19.21,F,Homestead,296st&Roberts ,K. elegans,N
124,,,M,Homestead,296st&Roberts ,K. elegans,N
125,,,M,Homestead,296st&Roberts ,K. elegans,N
126,,,M,Homestead,296st&Roberts ,K. elegans,N
127,,,M,Homestead,296st&Roberts ,K. elegans,N
128,,,M,Homestead,296st&Roberts ,K. elegans,N
129,,,F,Homestead,296st&Roberts ,K. elegans,N
130,,,F,Homestead,296st&Roberts ,K. elegans,N
131,,,M,Homestead,296st&Roberts ,K. elegans,N
132,Y,9.7.21,F,Homestead,296st&Roberts ,K. elegans,N
133,Y,8.25.21,F,Homestead,296st&Roberts ,K. elegans,N
134,,,M,Homestead,296st&Roberts ,K. elegans,N
135,Y,8.30.21,M,Homestead,296st&Roberts ,K. elegans,N
136,,,F,Homestead,296st&Roberts ,K. elegans,N
137,,,F,Homestead,296st&Roberts ,K. elegans,N
138,,,M,Homestead,296st&Roberts ,K. elegans,N
139,,,M,Homestead,296st&Roberts ,K. elegans,N
140,,,M,Homestead,296st&Roberts ,K. elegans,N
141,,,M,Homestead,296st&Roberts ,K. elegans,N
142,,,M,Homestead,296st&Roberts ,K. elegans,N
143,,,M,Homestead,296st&Roberts ,K. elegans,N
144,,,F,Homestead,296st&Roberts ,K. elegans,N
145,,,F,Homestead,296st&Roberts ,K. elegans,N
146,Y,8.19.21,F,Lake Placid,Sheriff's,K. elegans,N
147,,,F,Lake Placid,Sheriff's,K. elegans,N
148,Y,9.7.21,F,Lake Placid,Sheriff's,K. elegans,N
149,,,M,Lake Placid,Sheriff's,K. elegans,N
150,,,M,Lake Placid,Sheriff's,K. elegans,N
151,,,M,Lake Placid,Sheriff's,K. elegans,N
152,Y,8.26.21,F,Lake Placid,Sheriff's,K. elegans,N
153,,,F,Lake Placid,Sheriff's,K. elegans,N
154,,,M,Lake Placid,Sheriff's,K. elegans,N
155,,,F,Lake Placid,Sheriff's,K. elegans,N
156,Y,9.1.21,F,Lake Placid,Sheriff's,K. elegans,N
157,,,M,Lake Placid,Sheriff's,K. elegans,N
158,Y,8.23.21,M,Lake Placid,Sheriff's,K. elegans,N
159,Y,8.23.21,M,Lake Placid,Sheriff's,K. elegans,N
160,,,F,Lake Placid,Sheriff's,K. elegans,N
161,Y,8.29.21,M,Lake Placid,Sheriff's,K. elegans,N
162,Y,8.29.21,F,Lake Placid,Sheriff's,K. elegans,N
163,Y,8.16.21,M,Lake Placid,Sheriff's,K. elegans,N
164,,,F,Lake Placid,Sheriff's,K. elegans,N
165,Y,8.18.21,M,Lake Placid,Sheriff's,K. elegans,N
166,Y,8.31.21,F,Lake Wales,Alley,K. elegans,N
167,Y,8.16.21,M,Lake Wales,Alley,K. elegans,N
168,,,M,Lake Wales,Alley,K. elegans,N
169,,,F,Lake Wales,Alley,K. elegans,N
170,,,M,Lake Wales,Alley,K. elegans,N
171,,,F,Lake Wales,Alley,K. elegans,N
172,Y,9.7.21,F,Lake Wales,Alley,K. elegans,N
173,Y,8.3021,M,Lake Wales,Alley,K. elegans,N
174,Y,8.29.21,M,Lake Wales,Alley,K. elegans,N
175,Y,8.31.21,M,Lake Wales,Alley,K. elegans,N
176,,,F,Leesburg,Vet's Park,K. elegans,N
177,Y,8.29.21,F,Leesburg,Vet's Park,K. elegans,N
178,Y,8.25.21,M,Leesburg,Vet's Park,K. elegans,N
179,Y,8.24.21,F,Leesburg,Vet's Park,K. elegans,N
180,Y,8.17.21,F,Leesburg,Vet's Park,K. elegans,N
181,Y,8.29.21,M,Leesburg,Vet's Park,K. elegans,N
182,,,F,Leesburg,Vet's Park,K. elegans,N
183,,,M,Leesburg,Vet's Park,K. elegans,N
184,,,F,Leesburg,Vet's Park,K. elegans,N
185,Y,8.19.21,M,Leesburg,Vet's Park,K. elegans,N
186,Y,8.23.21,M,Leesburg,Vet's Park,K. elegans,N
187,Y,9.7.21,F,Leesburg,Vet's Park,K. elegans,N
188,,,F,Leesburg,Vet's Park,K. elegans,N
189,Y,8.18.21,F,Leesburg,Vet's Park,K. elegans,N
190,,,M,Leesburg,Vet's Park,K. elegans,N
191,,,F,Leesburg,Vet's Park,K. elegans,N
192,,,M,Leesburg,Vet's Park,K. elegans,N
193,,,M,Leesburg,Vet's Park,K. elegans,N
194,,,F,Leesburg,Vet's Park,K. elegans,N
195,Y,8.29.21,M,Leesburg,Vet's Park,K. elegans,N
196,Y,9.7.21,M,Leesburg,Vet's Park,K. elegans,N
197,Y,8.18.21,M,Leesburg,Vet's Park,K. elegans,N
198,,,F,Leesburg,Vet's Park,K. elegans,N
199,Y,8.16.21,F,Leesburg,Vet's Park,K. elegans,N
200,,,M,Leesburg,Vet's Park,K. elegans,N
201,,,F,Plantation Key,Founder's,C. corindum,N
202,,,F,Plantation Key,Founder's,C. corindum,N
203,Y,8.23.21,F,Plantation Key,Founder's,C. corindum,N
204,,,F,Plantation Key,Founder's,C. corindum,N
205,,,F,Plantation Key,Founder's,C. corindum,N
206,,,F,Plantation Key,Founder's,C. corindum,N
207,,,M,Plantation Key,Founder's,C. corindum,N
208,Y,8.23.21,M,Plantation Key,Founder's,C. corindum,N
209,,,F,Plantation Key,Founder's,C. corindum,N
210,Y,8.29.21,F,Plantation Key,Founder's,C. corindum,N
211,Y,8.29.21,F,Key Largo,JP Grove,C. corindum,N
212,,,F,Homstead,296st&Roberts ,K. elegans,N
213,,,F,Homstead,296st&Roberts ,K. elegans,N
214,,,M,Homstead,296st&Roberts ,K. elegans,N
215,,,M,Homstead,296st&Roberts ,K. elegans,N
216,,,M,Homstead,296st&Roberts ,K. elegans,N
217,,,M,Homstead,296st&Roberts ,K. elegans,N
218,,,M,Homstead,296st&Roberts ,K. elegans,N
219,Y,8.17.21,M,Homstead,296st&Roberts ,K. elegans,N
220,,,M,Homstead,296st&Roberts ,K. elegans,N
221,,,F,Homstead,296st&Roberts ,K. elegans,N
222,,,M,Homstead,296st&Roberts ,K. elegans,N
223,Y,8.24.21,M,Homstead,296st&Roberts ,K. elegans,N
224,,,M,Homstead,296st&Roberts ,K. elegans,N
225,,,F,Homstead,296st&Roberts ,K. elegans,N
226,,,M,Homstead,296st&Roberts ,K. elegans,N
227,,,F,Homstead,296st&Roberts ,K. elegans,N
228,,,M,Homstead,296st&Roberts ,K. elegans,N
229,,,F,Homstead,296st&Roberts ,K. elegans,N
230,,,M,Homstead,296st&Roberts ,K. elegans,N
231,,,F,Homstead,296st&Roberts ,K. elegans,N
232,,,F,Homstead,296st&Roberts ,K. elegans,N
233,,,M,Homstead,296st&Roberts ,K. elegans,N
234,,,M,Homstead,296st&Roberts ,K. elegans,N
235,Y,8.29.21,M,Homstead,296st&Roberts ,K. elegans,N
236,,,M,Homstead,296st&Roberts ,K. elegans,N
237,,,M,Homstead,296st&Roberts ,K. elegans,N
238,,,M,Homstead,296st&Roberts ,K. elegans,N
239,,,M,Homstead,296st&Roberts ,K. elegans,N
240,,,M,Homstead,296st&Roberts ,K. elegans,N
241,,,M,Lake Place,Sheriff's,K. elegans,N
242,Y,8.24.21,F,Lake Place,Sheriff's,K. elegans,N
243,Y,8.20.21,M,Lake Place,Sheriff's,K. elegans,N
244,,,M,Lake Place,Sheriff's,K. elegans,N
245,Y,9.7.21,M,Lake Place,Sheriff's,K. elegans,N
246,,,M,Lake Place,Sheriff's,K. elegans,N
247,,,F,Lake Place,Sheriff's,K. elegans,N
248,Y,8.23.21,F,Lake Place,Sheriff's,K. elegans,N
249,Y,8.24.21,F,Lake Place,Sheriff's,K. elegans,N
250,,,M,Lake Place,Sheriff's,K. elegans,N
251,,,M,Lake Place,Sheriff's,K. elegans,N
252,Y,8.23.21,F,Lake Place,Sheriff's,K. elegans,N
253,Y,9.7.21,M,Lake Place,Sheriff's,K. elegans,N
254,Y,8.25.21,M,Lake Place,Sheriff's,K. elegans,N
255,,,M,Lake Place,Sheriff's,K. elegans,N
256,,,M,Lake Place,Sheriff's,K. elegans,N
257,Y,8.26.21,M,Lake Place,Sheriff's,K. elegans,N
258,,,M,Lake Place,Sheriff's,K. elegans,N
259,,,M,Lake Place,Sheriff's,K. elegans,N
260,,,M,Lake Place,Sheriff's,K. elegans,N
261,Y,8.16.21,F,Lake Place,Sheriff's,K. elegans,N
262,,,F,Lake Place,Sheriff's,K. elegans,N
263,,,F,Lake Place,Sheriff's,K. elegans,N
264,Y,8.24.21,F,Lake Place,Sheriff's,K. elegans,N
265,Y,8.19.21,F,Lake Place,Sheriff's,K. elegans,N
266,Y,8.16.21,M,Lake Wales,Alley,K. elegans,N
267,,,M,Lake Wales,Alley,K. elegans,N
268,Y,8.23.21,M,Lake Wales,Alley,K. elegans,N
269,Y,8.30.21,M,Lake Wales,Alley,K. elegans,N
270,Y,8.23.21,M,Lake Wales,Alley,K. elegans,N
271,Y,8.15.21,M,Lake Wales,Alley,K. elegans,N
272,Y,8.26.21,M,Lake Wales,Alley,K. elegans,N
273,Y,8.16.21,F,Lake Wales,Alley,K. elegans,N
274,,,M,Lake Wales,Alley,K. elegans,N
275,Y,8.30.21,M,Lake Wales,Alley,K. elegans,N
276,Y,8.29.21,M,Lake Wales,Alley,K. elegans,N
277,Y,8.23.21,F,Lake Wales,Alley,K. elegans,N
278,Y,9.7.21,M,Lake Wales,Alley,K. elegans,N
279,Y,8.16.21,M,Lake Wales,Alley,K. elegans,N
280,,,M,Lake Wales,Alley,K. elegans,N
281,Y,9.1.21,M,Leesburg,Vet's Park,K. elegans,N
282,Y,8.29.21,F,Leesburg,Vet's Park,K. elegans,N
283,,,F,Leesburg,Vet's Park,K. elegans,N
284,,,M,Leesburg,Vet's Park,K. elegans,N
285,,,M,Leesburg,Vet's Park,K. elegans,N
286,Y,9.7.21,M,Leesburg,Vet's Park,K. elegans,N
287,,,M,Leesburg,Vet's Park,K. elegans,N
288,,,M,Leesburg,Vet's Park,K. elegans,N
289,Y,8.15.21,M,Leesburg,Vet's Park,K. elegans,N
290,,,M,Leesburg,Vet's Park,K. elegans,N
291,Y,8.15.21,F,Leesburg,Vet's Park,K. elegans,N
292,Y,8.16.21,F,Leesburg,Vet's Park,K. elegans,N
293,Y,8.29.21,F,Leesburg,Vet's Park,K. elegans,N
294,,,M,Leesburg,Vet's Park,K. elegans,N
295,,,M,Leesburg,Vet's Park,K. elegans,N
296,Y,8.23.21,M,Leesburg,Vet's Park,K. elegans,N
297,Y,8.23.21,M,Leesburg,Vet's Park,K. elegans,N
298,Y,9.7.21,F,Leesburg,Vet's Park,K. elegans,N
299,,,F,Leesburg,Vet's Park,K. elegans,N
300,,,F,Leesburg,Vet's Park,K. elegans,N
301,,,M,Plantation Key,Founder's,K. elegans,N
302,,,M,Plantation Key,Founder's,K. elegans,N
303,,,M,Plantation Key,Founder's,K. elegans,N
304,,,M,Plantation Key,Founder's,K. elegans,N
305,,,M,Plantation Key,Founder's,K. elegans,N
306,,,M,Plantation Key,Founder's,K. elegans,N
307,,,M,Plantation Key,Founder's,K. elegans,N
308,,,M,Plantation Key,Founder's,K. elegans,N
309,,,M,Plantation Key,Founder's,K. elegans,N
310,Y,8.23.21,M,Plantation Key,Founder's,K. elegans,N
311,Y,9.5.21,M,Plantation Key,Founder's,K. elegans,N
312,Y,8.26.21,M,Plantation Key,Founder's,K. elegans,N
313,,,M,Plantation Key,Founder's,K. elegans,N
314,,,M,Plantation Key,Founder's,K. elegans,N
315,,,M,Plantation Key,Founder's,K. elegans,N
316,Y,8.24.21,F,Plantation Key,Founder's,K. elegans,N
317,,,F,Plantation Key,Founder's,K. elegans,N
318,,,F,Plantation Key,Founder's,K. elegans,N
319,Y,8.23.21,F,Plantation Key,Founder's,K. elegans,N
320,,,M,Plantation Key,Founder's,K. elegans,N
321,Y,8.26.21,M,Plantation Key,Founder's,K. elegans,N
322,,,M,Plantation Key,Founder's,K. elegans,N
323,,,M,Plantation Key,Founder's,K. elegans,N
324,,,M,Plantation Key,Founder's,K. elegans,N
325,,,M,Plantation Key,Founder's,K. elegans,N
326,,,M,Plantation Key,Founder's,K. elegans,N
327,,,M,Plantation Key,Founder's,K. elegans,N
328,,,F,Plantation Key,Founder's,K. elegans,N
329,Y,9.7.21,F,Plantation Key,Founder's,K. elegans,N
330,Y,8.20.21,F,Plantation Key,Founder's,K. elegans,N
331,,,M,Plantation Key,Founder's,K. elegans,N
332,,,M,Plantation Key,Founder's,K. elegans,N
333,,,M,Plantation Key,Founder's,K. elegans,N
334,Y,8.29.21,F,Plantation Key,Founder's,K. elegans,N
335,Y,8.25.21,F,Plantation Key,Founder's,K. elegans,N
336,,,M,Plantation Key,Founder's,K. elegans,N
337,,,M,Plantation Key,Founder's,K. elegans,N
338,,,F,Plantation Key,Founder's,K. elegans,N
339,,,F,Plantation Key,Founder's,K. elegans,N
340,Y,8.24.21,M,Plantation Key,Founder's,K. elegans,N
341,,,M,Plantation Key,Founder's,K. elegans,N
342,,,M,Plantation Key,Founder's,K. elegans,N
343,,,M,Plantation Key,Founder's,K. elegans,N
344,Y,8.23.21,M,Homestead,296st&Roberts ,K. elegans,N
345,Y,8.29.21,M,Homestead,296st&Roberts ,K. elegans,N
346,,,M,Homestead,296st&Roberts ,K. elegans,N
347,,,M,Homestead,296st&Roberts ,K. elegans,N
348,,,F,Homestead,296st&Roberts ,K. elegans,N
349,,,F,Homestead,296st&Roberts ,K. elegans,N
350,,,F,Homestead,296st&Roberts ,K. elegans,N
351,,,M,Homestead,296st&Roberts ,K. elegans,N
352,,,M,Homestead,296st&Roberts ,K. elegans,N
353,,,M,Homestead,296st&Roberts ,K. elegans,N
354,,,M,Homestead,296st&Roberts ,K. elegans,N
355,,,F,Homestead,296st&Roberts ,K. elegans,N
356,,,F,Homestead,296st&Roberts ,K. elegans,N
357,Y,8.19.21,F,Homestead,296st&Roberts ,K. elegans,N
358,,,F,Homestead,296st&Roberts ,K. elegans,N
359,,,M,Homestead,296st&Roberts ,K. elegans,N
360,Y,9.7.21,M,Homestead,296st&Roberts ,K. elegans,N
361,,,M,Homestead,296st&Roberts ,K. elegans,N
362,,,M,Homestead,296st&Roberts ,K. elegans,N
363,,,F,Lake Placid,Sheriff's,K. elegans,N
364,Y,8.18.21,F,Lake Placid,Sheriff's,K. elegans,N
365,Y,8.26.21,F,Lake Placid,Sheriff's,K. elegans,N
366,Y,8.17.21,F,Lake Placid,Sheriff's,K. elegans,N
367,Y,8.25.21,F,Lake Placid,Sheriff's,K. elegans,N
368,Y,8.18.21,M,Lake Placid,Sheriff's,K. elegans,N
369,,,M,Lake Placid,Sheriff's,K. elegans,N
370,,,M,Lake Placid,Sheriff's,K. elegans,N
371,,,M,Lake Placid,Sheriff's,K. elegans,N
372,,,M,Lake Placid,Sheriff's,K. elegans,N
373,,,M,Lake Placid,Sheriff's,K. elegans,N
374,,,M,Lake Placid,Sheriff's,K. elegans,N
375,Y,8.24.21,F,Lake Placid,Sheriff's,K. elegans,N
376,,,M,Lake Placid,Sheriff's,K. elegans,N
377,Y,9.7.21,M,Lake Placid,Sheriff's,K. elegans,N
378,Y,8.24.21,M,Lake Placid,Sheriff's,K. elegans,N
379,Y,8.17.21,M,Lake Placid,Sheriff's,K. elegans,N
380,Y,9.7.21,M,Leesburg,Vet's Park,K. elegans,N
381,,,M,Leesburg,Vet's Park,K. elegans,N
382,Y,8.29.21,M,Leesburg,Vet's Park,K. elegans,N
383,Y,8.19.21,M,Leesburg,Vet's Park,K. elegans,N
384,Y,8.26.21,M,Leesburg,Vet's Park,K. elegans,N
385,Y,9.7.21,M,Leesburg,Vet's Park,K. elegans,N
386,Y,8.16.21,F,Leesburg,Vet's Park,K. elegans,N
387,Y,9.7.21,F,Leesburg,Vet's Park,K. elegans,N
388,,,F,Leesburg,Vet's Park,K. elegans,N
389,Y,9.7.21,F,Leesburg,Vet's Park,K. elegans,N
390,Y,8.16.21,F,Leesburg,Vet's Park,K. elegans,N
391,,,F,Leesburg,Vet's Park,K. elegans,N
392,,,M,Leesburg,Vet's Park,K. elegans,N
393,,,M,Leesburg,Vet's Park,K. elegans,N
394,,,M,Leesburg,Vet's Park,K. elegans,N
395,,,M,Leesburg,Vet's Park,K. elegans,N
396,,,M,Leesburg,Vet's Park,K. elegans,N
397,Y,9.7.21,M,Leesburg,Vet's Park,K. elegans,N
398,Y,8.18.21,F,Leesburg,Vet's Park,K. elegans,N
399,Y,8.16.21,F,Leesburg,Vet's Park,K. elegans,N
400,Y,8.24.21,F,Leesburg,Vet's Park,K. elegans,N