MID,collect_date,n_eggs,n_viable,pop
119,8.17.21,15,,KL
211,8.17.21,1,,KL
92,8.17.21,10,,GV
335,8.17.21,16,,PK
118,8.17.21,15,,KL
114,8.17.21,20,,KL
114,8.19.21,22,,KL
119,8.19.21,10,,KL
16,8.19.21,39,,KL
92,8.19.21,20,,GV
211,8.19.21,9,,KL
118,8.19.21,19,,KL
118,8.20.21,1,,KL
329,8.20.21,13,,PK
363,8.20.21,3,,LP
335,8.20.21,3,,PK
262,8.25.21,5,,LP
114,8.25.21,47,,KL
164,8.25.21,3,,LP
339,8.25.21,14,,PK
389,8.25.21,14,,LB
367,8.25.21,8,,LP
288,8.25.21,18,,LB
387,8.25.21,12,,LB
349,8.25.21,24,,HS
355,8.25.21,14,,HS
229,8.25.21,8,,HS
28,8.25.21,25,,HS
24,8.25.21,42,,HS
119,8.27.21,10,,KL
211,8.27.21,6,,KL
16,8.27.21,83,,KL
118,8.27.21,40,,KL
288,8.27.21,15,,LB
89,8.27.21,6,,LB
298,8.27.21,10,,LB
329,8.27.21,92,,PK
316,8.27.21,17,,PK
2,8.27.21,19,,PK
73,8.27.21,26,,LW
9,8.27.21,29,,PK
317,8.27.21,16,,PK
103,8.27.21,9,,PK
104,8.27.21,5,,LP
363,8.27.21,11,,LP
263,8.27.21,31,,LP
153,8.27.21,18,,LP
247,8.27.21,12,,LP
61,8.27.21,14,,LP
355,8.27.21,8,,HS
24,8.27.21,10,,HS
356,8.27.21,20,,HS
232,8.27.21,33,,HS
33,8.27.21,35,,HS
348,8.27.21,22,,HS
129,8.27.21,21,,HS
41,8.27.21,44,,HS
29,8.27.21,14,,HS
22,8.27.21,5,,HS