"","mass_diff","No","T1","Twice"
"2",-0.039,0.285607099675034,0.0215328965586725,0.692860003766294
"10",-0.026,0.235153337455831,0.0374063128917718,0.727440349652397
"12",-0.02,0.21343474899816,0.0479200743438125,0.738645176658028
"31",-0.002,0.154395998556913,0.0974684806865784,0.748135520756509
"52",0.00599999999999999,0.131114714188893,0.131046186874384,0.737839098936723
"58",0.00800000000000001,0.125580714819366,0.140793338405339,0.733625946775294
"24",-0.005,0.35040938221819,0.109203704095415,0.540386913686394
"38",0.001,0.315943583133337,0.138972792075307,0.545083624791356
"43",0.002,0.310203690781715,0.144514127258176,0.545282181960109
"47",0.004,0.298741238072343,0.156115031240467,0.54514373068719
"48",0.004,0.298741238072343,0.156115031240467,0.54514373068719
"49",0.004,0.298741238072343,0.156115031240467,0.54514373068719
"53",0.00699999999999999,0.281616272985585,0.174838306179172,0.543545420835243
"55",0.007,0.281616272985585,0.174838306179172,0.543545420835243
"56",0.00700000000000001,0.281616272985585,0.174838306179172,0.543545420835243
"66",0.015,0.236716645656393,0.232676457005545,0.530606897338061
"68",0.016,0.231220608425752,0.240709529316522,0.528069862257726
"72",0.017,0.225758018925261,0.248916123825714,0.525325857249025
"82",0.028,0.168570921808905,0.349596121605141,0.481832956585954
"83",0.029,0.163699108820209,0.359561645596342,0.476739245583449
"1",-0.045,0.914500708825857,0.0098547875238596,0.0756445036502831
"5",-0.032,0.886356049967186,0.0201526300400998,0.0934913199927139
"6",-0.03,0.881055966426193,0.0224705247954569,0.0964735087783505
"7",-0.029,0.878290014999458,0.0237241556292825,0.0979858293712594
"8",-0.026,0.869495332904285,0.0279029020261526,0.102601765069562
"11",-0.022,0.856498200841125,0.0345844580123137,0.108917341146562
"13",-0.018,0.841857591679655,0.0427725902882503,0.115369818032095
"14",-0.017,0.837914314381017,0.0450888988096612,0.116996786809322
"15",-0.017,0.837914314381017,0.0450888988096612,0.116996786809322
"16",-0.015,0.829661960401018,0.0500792017280879,0.120258837870894
"17",-0.015,0.829661960401018,0.0500792017280879,0.120258837870894
"18",-0.014,0.825345181308456,0.0527636631678591,0.121891155523684
"21",-0.00899999999999999,0.801697118772406,0.0683006980129306,0.130002183214664
"26",-0.004,0.774241898921309,0.0879036663460329,0.137854434732658
"27",-0.00399999999999999,0.774241898921309,0.0879036663460329,0.137854434732658
"28",-0.00299999999999999,0.768250792626743,0.0923796763555001,0.139369531017757
"29",-0.00299999999999999,0.768250792626743,0.0923796763555001,0.139369531017757
"32",-0.002,0.76208433458463,0.0970553664683668,0.140860298947003
"33",-0.00199999999999999,0.76208433458463,0.0970553664683669,0.140860298947003
"34",0,0.749211701856118,0.10703043029039,0.143757867853493
"35",0,0.749211701856118,0.10703043029039,0.143757867853493
"36",0,0.749211701856118,0.10703043029039,0.143757867853493
"37",0.001,0.742499156072178,0.112341904957597,0.145158938970225
"39",0.001,0.742499156072178,0.112341904957597,0.145158938970225
"40",0.002,0.735598573338381,0.117877196333412,0.146524230328206
"41",0.002,0.735598573338381,0.117877196333412,0.146524230328206
"42",0.002,0.735598573338381,0.117877196333412,0.146524230328206
"44",0.00299999999999999,0.728507358381988,0.123641983147801,0.147850658470212
"46",0.00399999999999998,0.721223208028136,0.129641728510701,0.149135063461163
"50",0.004,0.721223208028136,0.129641728510702,0.149135063461163
"51",0.005,0.71374414406895,0.135881639301118,0.150374216629932
"54",0.00699999999999999,0.698195190491263,0.149101245893847,0.15270356361489
"57",0.00700000000000001,0.698195190491263,0.149101245893847,0.15270356361489
"59",0.00800000000000001,0.690123276061227,0.156089681658294,0.153787042280479
"60",0.01,0.673382928549456,0.170842462122598,0.155774609327947
"61",0.01,0.673382928549456,0.170842462122598,0.155774609327946
"63",0.012,0.655850993266073,0.186648756239666,0.15750025049426
"64",0.013,0.646791710296809,0.19495189667653,0.158256393026661
"65",0.014,0.637539982686835,0.203523023600849,0.158936993712316
"69",0.016,0.618472409126833,0.221468849575037,0.16005874129813
"74",0.018,0.598681609707786,0.24047749399212,0.160840896300094
"76",0.019,0.58852853384418,0.250373951483371,0.161097514672448
"77",0.021,0.567740519017593,0.270930382607713,0.161329098374694
"87",0.037,0.387680506637826,0.463736611699387,0.148582881662787
"88",0.038,0.376309116532285,0.476744026269584,0.14694685719813
"3",-0.038,0.764787666334327,0.0210059828390001,0.214206350826673
"4",-0.034,0.748279827993195,0.0258605983211378,0.225859573685667
"9",-0.026,0.711612615161712,0.0389370432497591,0.249450341588529
"19",-0.014,0.646109793005818,0.0704275944862647,0.283462612507917
"20",-0.014,0.646109793005818,0.0704275944862647,0.283462612507917
"22",-0.00799999999999999,0.608028484321903,0.0935446720087181,0.298426843669378
"23",-0.00600000000000001,0.594498654132371,0.102596420111391,0.302904925756238
"25",-0.004,0.580547604292268,0.112384228543392,0.30706816716434
"30",-0.002,0.566177507323509,0.122943718254529,0.310878774421961
"45",0.003,0.528464076809302,0.152927187844907,0.318608735345791
"62",0.01,0.47174455542927,0.204069372142699,0.324186072428031
"67",0.015,0.4289933561703,0.247307335393505,0.323699308436195
"70",0.016,0.420281234067264,0.256607609379133,0.323111156553603
"71",0.017,0.411528858243597,0.266117188912829,0.322353952843574
"73",0.018,0.402742696877112,0.275831210799611,0.321426092323277
"75",0.019,0.393929490094298,0.285744135484348,0.320326374421354
"78",0.021,0.376250150071243,0.306141153203389,0.317608696725368
"79",0.022,0.367398682614794,0.316610801169174,0.315990516216032
"80",0.023,0.358549453348318,0.327250483388626,0.314200063263056
"81",0.027,0.323332306870074,0.371323754426389,0.305343938703537
"84",0.03,0.297333445556119,0.405673552984357,0.296993001459524
"85",0.03,0.297333445556119,0.405673552984357,0.296993001459524
"86",0.031,0.288789042043212,0.417308030622737,0.293902927334051
"89",0.039,0.223726776332172,0.511845391380633,0.264427832287195
"90",0.041,0.208626343861878,0.535397303511164,0.255976352626958
"91",0.042,0.201283240067032,0.547088703100847,0.251628056832121
"92",0.054,0.125325823382036,0.678590693437534,0.19608348318043
"93",0.064,0.0799848117263481,0.769140817785563,0.150874370488089
