ID,sex,population,host,site,flight_date,eggs,notes
1,F,Plantation Key,C. corindum ,Founder's #2,,,P
2,F,Plantation Key,C. corindum ,Founder's #2,,,P
3,M,Plantation Key,C. corindum ,Founder's #2,,,P
4,M,Plantation Key,C. corindum ,Founder's #2,,,P
5,F,Plantation Key,C. corindum ,Founder's #2,,,P
6,F,Plantation Key,C. corindum ,Founder's #2,,,P
7,M,Plantation Key,C. corindum ,Founder's #2,,,P
8,F,Plantation Key,C. corindum ,Founder's #2,,,C
9,F,Plantation Key,C. corindum ,Founder's #2,,,C
10,M,Plantation Key,C. corindum ,Founder's #2,,,C
11,M,Plantation Key,C. corindum ,Founder's #2,,,C
12,F,Plantation Key,C. corindum ,Founder's #1,,,C
13,M,Plantation Key,C. corindum ,Founder's #1,,,C
14,F,Plantation Key,C. corindum ,Founder's #1,,,C
15,M,Plantation Key,C. corindum ,Founder's #1,,,C
16,F,Plantation Key,C. corindum ,Founder's #1,,,C
17,M,Plantation Key,C. corindum ,Founder's #1,,,C
18,M,Plantation Key,C. corindum ,Founder's #1,,,C
19,F,Plantation Key,C. corindum ,Founder's #1,,,C
20,M,Plantation Key,C. corindum ,Founder's #1,,,C
21,M,Plantation Key,C. corindum ,Founder's #1,,,C
22,M,Plantation Key,C. corindum ,Founder's #1,,,C
23,F,Plantation Key,C. corindum ,Founder's #1,,,C
24,M,Plantation Key,C. corindum ,Founder's #1,,,C
25,M,Plantation Key,C. corindum ,Founder's #1,,,C
26,M,Plantation Key,C. corindum ,Founder's #1,,,C
27,M,Plantation Key,C. corindum ,Founder's #1,,,C
28,F,Plantation Key,C. corindum ,Founder's #1,,,C
29,M,Plantation Key,C. corindum ,Founder's #1,,,C
30,F,Plantation Key,C. corindum ,Founder's #1,,,C
31,M,Plantation Key,C. corindum ,Founder's #1,,,C
32,F,Plantation Key,C. corindum ,Founder's #1,,,C
33,M,Plantation Key,C. corindum ,Founder's #1,,,C
34,F,Plantation Key,C. corindum ,Founder's #1,,,C
35,M,Plantation Key,C. corindum ,Founder's #1,,,C
36,F,Plantation Key,C. corindum ,Founder's #1,,,C
37,F,Key Largo,C. corindum ,JP Grove,,,P
38,F,Key Largo,C. corindum ,JP Grove,,,P
39,F,Key Largo,C. corindum ,JP Grove,,,P
40,M,Key Largo,C. corindum ,JP Grove,,,P
41,M,Key Largo,C. corindum ,JP Grove,,,P
42,F,Key Largo,C. corindum ,JP Grove,,,P
43,M,Key Largo,C. corindum ,JP Grove,,,P
44,M,Key Largo,C. corindum ,JP Grove,,,C
45,M,Key Largo,C. corindum ,JP Grove,,,C
46,F,Key Largo,C. corindum ,JP Grove,,,C
47,M,Key Largo,C. corindum ,JP Grove,,,C
48,F,Key Largo,C. corindum ,JP Grove,,,C
49,M,Key Largo,C. corindum ,JP Grove,,,C
50,M,Key Largo,C. corindum ,JP Grove,,,C
51,F,Key Largo,C. corindum ,JP Grove,,,C
52,F,Key Largo,C. corindum ,JP Grove,,,C
53,M,Key Largo,C. corindum ,JP Grove,,,C
54,M,Key Largo,C. corindum ,JP Grove,,,C; NOT J. haematoloma
55,M,Key Largo,C. corindum ,JP Grove,,,C
56,M,Key Largo,C. corindum ,JP Grove,,,C
57,M,Key Largo,C. corindum ,JP Grove,,,C
58,F,Key Largo,C. corindum ,JP Grove,,,C
59,M,Key Largo,C. corindum ,JP Grove,,,C
60,F,Key Largo,C. corindum ,JP Grove,,,C
61,M,Key Largo,C. corindum ,JP Grove,,,C
62,F,Key Largo,C. corindum ,JP Grove,,,C
63,F,Key Largo,C. corindum ,JP Grove,,,C
64,F,Key Largo,C. corindum ,JP Grove,,,C
65,F,Key Largo,C. corindum ,JP Grove,,,C
66,F,North Key Largo,C. corindum ,Dagny Trellis,,,P
67,M,North Key Largo,C. corindum ,Dagny Trellis,,,P
68,M,North Key Largo,C. corindum ,Dagny Trellis,,,P
69,F,North Key Largo,C. corindum ,Dagny Trellis,,,P
70,F,North Key Largo,C. corindum ,Dagny Trellis,,,P; NOT J. haematoloma
71,F,North Key Largo,C. corindum ,Dagny Trellis,,,C
72,M,North Key Largo,C. corindum ,Dagny Trellis,,,C
73,M,North Key Largo,C. corindum ,Dagny Trellis,,,C
74,F,North Key Largo,C. corindum ,Dagny Trellis,,,C
75,M,North Key Largo,C. corindum ,Dagny Trellis,,,C
76,F,North Key Largo,C. corindum ,Dagny Trellis,,,C
77,F,North Key Largo,C. corindum ,Dagny Trellis,,,C
78,M,North Key Largo,C. corindum ,Dagny Trellis,,,C
79,M,North Key Largo,C. corindum ,Dagny 1/2 Loop,,,C
80,F,North Key Largo,C. corindum ,Dagny 1/2 Loop,,,C
81,M,North Key Largo,C. corindum ,Dagny 1/2 Loop,,,C
82,M,North Key Largo,C. corindum ,Dagny 1/2 Loop,,,C
83,M,North Key Largo,C. corindum ,Dagny 1/2 Loop,,,C
84,M,North Key Largo,C. corindum ,Dagny 1/2 Loop,,,C
85,F,North Key Largo,C. corindum ,Dagny 1/2 Loop,,,C
86,M,North Key Largo,C. corindum ,Dagny 1/2 Loop,,,C
87,M,North Key Largo,C. corindum ,Dagny 1/2 Loop,,,C
88,F,North Key Largo,C. corindum ,Dagny 1/2 Loop,,,C
89,M,Homestead,K. elegans,SW 296th St & 182nd Ave,,,P
90,F,Homestead,K. elegans,SW 296th St & 182nd Ave,,,P
91,M,Homestead,K. elegans,SW 296th St & 182nd Ave,,,P
92,M,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
93,M,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
94,F,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
95,F,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
96,M,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
97,F,Homestead,K. elegans,SW 296th St & 182nd Ave,,,P
98,F,Homestead,K. elegans,SW 296th St & 182nd Ave,,,P
99,M,Homestead,K. elegans,SW 296th St & 182nd Ave,,,P
100,M,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
101,M,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
102,F,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
103,M,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
104,F,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
105,F,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
106,F,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
107,F,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
108,F,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
109,F,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
110,F,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
111,M,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
112,F,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
113,M,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
114,M,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
115,F,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
116,F,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
117,F,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
118,F,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
119,M,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
120,M,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
121,F,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
122,M,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
123,M,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
124,M,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
125,M,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
126,M,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
127,M,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
128,M,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
129,M,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
130,M,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
131,F,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
132,M,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
133,M,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
134,M,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
135,F,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
136,M,Homestead,K. elegans,SW 296th St & 182nd Ave,,,C
137,M,Lake Wales,K. elegans,Polk,,,P
138,F,Lake Wales,K. elegans,Polk,,,P
139,F,Lake Wales,K. elegans,Polk,,,P
140,M,Lake Wales,K. elegans,Polk,,,P
141,F,Lake Wales,K. elegans,Polk,,,P
142,F,Lake Wales,K. elegans,Polk,,,P
143,M,Lake Wales,K. elegans,Polk,,,P
144,F,Lake Wales,K. elegans,Polk,,,P
145,M,Lake Wales,K. elegans,Polk,,,P
146,M,Lake Wales,K. elegans,Polk,,,P
147,F,Lake Wales,K. elegans,Polk,,,P
148,M,Lake Wales,K. elegans,Polk,,,C
149,F,Lake Wales,K. elegans,Polk,,,C
150,F,Lake Wales,K. elegans,Polk,,,C
151,F,Lake Wales,K. elegans,Polk,,,C
152,M,Lake Wales,K. elegans,Polk,,,C
153,F,Lake Wales,K. elegans,Polk,,,C
154,F,Lake Wales,K. elegans,Polk,,,C
155,M,Lake Wales,K. elegans,Polk,,,C
156,F,Lake Wales,K. elegans,Polk,,,C
157,M,Lake Wales,K. elegans,Polk,,,C
158,M,Lake Wales,K. elegans,Polk,,,C
159,M,Lake Wales,K. elegans,Polk,,,C
160,F,Lake Wales,K. elegans,Polk,,,C
177,F,North Key Largo,C. corindum ,Dagny 1/2 Loop,,,C
178,,North Key Largo,C. corindum ,Dagny 1/2 Loop,,,C
179,M,North Key Largo,C. corindum ,Dagny 1/2 Loop,,,C
180,M,North Key Largo,C. corindum ,N. Dagny,,,P
181,F,North Key Largo,C. corindum ,N. Dagny,,,P
182,M,North Key Largo,C. corindum ,N. Dagny,,,P
183,M,North Key Largo,C. corindum ,N. Dagny,,,P
184,M,North Key Largo,C. corindum ,N. Dagny,,,C
185,M,North Key Largo,C. corindum ,N. Dagny,,,C
186,F,North Key Largo,C. corindum ,N. Dagny,,,C
187,F,North Key Largo,C. corindum ,N. Dagny,,,C
188,M,North Key Largo,C. corindum ,N. Dagny,,,C
189,M,North Key Largo,C. corindum ,N. Dagny,,,C
190,M,North Key Largo,C. corindum ,N. Dagny,,,C
191,M,North Key Largo,C. corindum ,N. Dagny,,,C
192,M,North Key Largo,C. corindum ,N. Dagny,,,C
193,M,North Key Largo,C. corindum ,N. Dagny,,,C; NOT J. haematoloma
194,M,North Key Largo,C. corindum ,N. Dagny,,,C
195,M,North Key Largo,C. corindum ,Charlemagne,,,C
196,F,North Key Largo,C. corindum ,Charlemagne,,,C
197,M,North Key Largo,C. corindum ,Charlemagne,,,C
198,F,North Key Largo,C. corindum ,Charlemagne,,,C
199,F,North Key Largo,C. corindum ,Charlemagne,,,C
200,M,North Key Largo,C. corindum ,Charlemagne,,,C
201,M,North Key Largo,C. corindum ,Charlemagne,,,C
202,F,North Key Largo,C. corindum ,Charlemagne,,,C
203,F,North Key Largo,C. corindum ,Charlemagne,,,C
204,M,North Key Largo,C. corindum ,Charlemagne,,,C
205,M,North Key Largo,C. corindum ,Charlemagne,,,C
206,M,North Key Largo,C. corindum ,Charlemagne,,,C
207,M,North Key Largo,C. corindum ,Charlemagne,,,C
208,F,North Key Largo,C. corindum ,Charlemagne,,,C
209,F,North Key Largo,C. corindum ,Charlemagne,,,C
210,M,North Key Largo,C. corindum ,Charlemagne,,,C
211,M,North Key Largo,C. corindum ,Charlemagne,,,C
212,M,North Key Largo,C. corindum ,Charlemagne,,,C
213,M,North Key Largo,C. corindum ,Charlemagne,,,C
214,M,North Key Largo,C. corindum ,Charlemagne,,,C
215,M,North Key Largo,C. corindum ,Charlemagne,,,C
216,M,North Key Largo,C. corindum ,Charlemagne,,,C
217,F,North Key Largo,C. corindum ,MM165,,,C
218,F,North Key Largo,C. corindum ,Carysfort Cr,,,C
219,F,North Key Largo,C. corindum ,Carysfort Cr,,,C
220,F,North Key Largo,C. corindum ,Carysfort Cr,,,C
221,F,North Key Largo,C. corindum ,Carysfort,,,C
222,M,North Key Largo,C. corindum ,Carysfort,,,C
223,F,North Key Largo,C. corindum ,Carysfort,,,C
224,M,North Key Largo,C. corindum ,Carysfort,,,C
225,F,North Key Largo,C. corindum ,Carysfort,,,C
226,M,North Key Largo,C. corindum ,Carysfort,,,C
227,F,North Key Largo,C. corindum ,Carysfort,,,C
228,F,North Key Largo,C. corindum ,Carysfort,,,C
229,F,North Key Largo,C. corindum ,Carysfort,,,C
230,M,North Key Largo,C. corindum ,Carysfort,,,C
231,M,North Key Largo,C. corindum ,Carysfort,,,C
232,F,North Key Largo,C. corindum ,Carysfort,,,C
233,F,North Key Largo,C. corindum ,Carysfort,,,C
234,F,North Key Largo,C. corindum ,Carysfort,,,C
235,F,North Key Largo,C. corindum ,Carysfort,,,C
236,F,North Key Largo,C. corindum ,Carysfort,,,C
237,F,North Key Largo,C. corindum ,Carysfort,,,P
238,F,North Key Largo,C. corindum ,Carysfort,,,P
239,F,North Key Largo,C. corindum ,DD front,,,P
240,M,North Key Largo,C. corindum ,DD front,,,P
241,M,North Key Largo,C. corindum ,DD front,,,P
242,F,North Key Largo,C. corindum ,DD front,,,P
243,M,North Key Largo,C. corindum ,DD front,,,P
244,F,North Key Largo,C. corindum ,DD front,,,P
245,F,North Key Largo,C. corindum ,DD front,,,C
246,F,North Key Largo,C. corindum ,DD front,,,C
247,M,North Key Largo,C. corindum ,DD front,,,C
248,M,North Key Largo,C. corindum ,DD front,,,C
249,F,North Key Largo,C. corindum ,DD -inter,,,C
250,F,North Key Largo,C. corindum ,DD -inter,,,C
251,M,North Key Largo,C. corindum ,DD -inter,,,C
252,F,North Key Largo,C. corindum ,DD -inter,,,C
253,F,North Key Largo,C. corindum ,DD,,,C
254,M,North Key Largo,C. corindum ,DD,,,C
255,M,North Key Largo,C. corindum ,DD,,,C
256,F,North Key Largo,C. corindum ,DD,,,C
257,M,North Key Largo,C. corindum ,DD,,,P
258,M,North Key Largo,C. corindum ,DD,,,P
259,M,North Key Largo,C. corindum ,DD,,,C
260,M,North Key Largo,C. corindum ,DD,,,C
261,M,North Key Largo,C. corindum ,DD,,,C
262,M,North Key Largo,C. corindum ,DD,,,C
263,F,North Key Largo,C. corindum ,DD,,,C
264,M,North Key Largo,C. corindum ,DD,,,C
265,F,North Key Largo,C. corindum ,DD,,,C
266,F,North Key Largo,C. corindum ,DD,,,C
267,M,North Key Largo,C. corindum ,DD,,,C
268,M,North Key Largo,C. corindum ,DD,,,C
269,M,North Key Largo,C. corindum ,DD,,,C
270,F,North Key Largo,C. corindum ,DD,,,C
271,M,North Key Largo,C. corindum ,DD,,,C
272,F,North Key Largo,C. corindum ,DD,,,C
273,M,North Key Largo,C. corindum ,DD,,,C
274,F,North Key Largo,C. corindum ,DD,,,C
275,F,North Key Largo,C. corindum ,DD,,,C
276,M,North Key Largo,C. corindum ,DD,,,C
277,M,North Key Largo,C. corindum ,DD,,,C
278,M,North Key Largo,C. corindum ,DD,,,C
279,M,North Key Largo,C. corindum ,DD,,,C
280,M,North Key Largo,C. corindum ,DD,,,C
281,F,North Key Largo,C. corindum ,DD,,,C
282,M,North Key Largo,C. corindum ,DD,,,C
283,F,North Key Largo,C. corindum ,DD,,,C
284,M,North Key Largo,C. corindum ,DD,,,C
285,F,North Key Largo,C. corindum ,DD,,,P
286,M,North Key Largo,C. corindum ,DD,,,P
287,M,North Key Largo,C. corindum ,DD,,,P
288,M,North Key Largo,C. corindum ,DD,,,P
289,F,North Key Largo,C. corindum ,DD,,,P
290,M,Lake Placid,K. elegans,Barber shop,,,P
291,M,Lake Placid,K. elegans,Barber shop,,,P
292,F,Lake Placid,K. elegans,Barber shop,,,P
293,F,Lake Placid,K. elegans,Barber shop,,,P
294,M,Lake Placid,K. elegans,Barber shop,,,P
295,M,Lake Placid,K. elegans,Barber shop,,,P
296,F,Lake Placid,K. elegans,Barber shop,,,P
297,M,Lake Placid,K. elegans,Barber shop,,,P
298,F,Lake Placid,K. elegans,Barber shop,,,P
299,M,Lake Placid,K. elegans,Barber shop,,,P
300,M,Lake Placid,K. elegans,Barber shop,,,C
301,F,Lake Placid,K. elegans,Barber shop,,,C
302,F,Lake Placid,K. elegans,Barber shop,,,C
303,F,Lake Placid,K. elegans,Barber shop,,,C
304,F,Lake Placid,K. elegans,Barber shop,,,C
305,F,Lake Placid,K. elegans,Barber shop,,,C
306,F,Lake Placid,K. elegans,Barber shop,,,C
307,M,Lake Placid,K. elegans,Barber shop,,,C
308,M,Lake Placid,K. elegans,Barber shop,,,C
309,M,Lake Placid,K. elegans,Barber shop,,,C
310,F,Lake Placid,K. elegans,Barber shop,,,C
311,M,Lake Placid,K. elegans,Barber shop,,,C
312,M,Lake Placid,K. elegans,Barber shop,,,C
313,F,Lake Placid,K. elegans,Barber shop,,,C
314,F,Lake Placid,K. elegans,Barber shop,,,C
315,F,Lake Placid,K. elegans,Barber shop,,,C
316,F,Lake Placid,K. elegans,Barber shop,,,C
317,M,Lake Placid,K. elegans,Barber shop,,,C
318,M,Lake Placid,K. elegans,Barber shop,,,C
319,F,Lake Placid,K. elegans,Barber shop,,,C
320,F,Lake Placid,K. elegans,Barber shop,,,C
321,M,Lake Placid,K. elegans,Barber shop,,,C
322,F,Lake Placid,K. elegans,Barber shop,,,C
323,M,Lake Placid,K. elegans,Barber shop,,,C
324,F,Lake Placid,K. elegans,Barber shop,,,C
325,F,Lake Placid,K. elegans,Barber shop,,,C
326,M,Lake Placid,K. elegans,Barber shop,,,C
327,M,Lake Placid,K. elegans,Barber shop,,,C
328,F,Lake Placid,K. elegans,Barber shop,,,C
329,M,Lake Placid,K. elegans,Barber shop,,,C
330,M,Lake Placid,K. elegans,Barber shop,,,C
331,F,Lake Placid,K. elegans,Barber shop,,,C
332,M,Lake Placid,K. elegans,Barber shop,,,C
333,F,Lake Placid,K. elegans,Barber shop,,,C
334,M,Lake Placid,K. elegans,Barber shop,,,C
335,F,Lake Placid,K. elegans,Barber shop,,,C
336,F,Lake Placid,K. elegans,Barber shop,,,C
337,M,Lake Placid,K. elegans,Barber shop,,,C
338,F,Lake Placid,K. elegans,Barber shop,,,C
339,M,Lake Placid,K. elegans,Barber shop,,,C
340,F,Lake Placid,K. elegans,Barber shop,,,C
341,M,Lake Placid,K. elegans,Barber shop,,,C
342,F,Lake Placid,K. elegans,Barber shop,,,C
343,M,Lake Placid,K. elegans,Barber shop,,,C
344,M,Lake Placid,K. elegans,Barber shop,,,C
345,M,Lake Placid,K. elegans,Barber shop,,,C
346,M,Lake Placid,K. elegans,Barber shop,,,C
347,M,Lake Placid,K. elegans,Barber shop,,,C
348,M,Lake Placid,K. elegans,Barber shop,,,C
349,M,Lake Placid,K. elegans,Barber shop,,,C
350,F,Lake Placid,K. elegans,Barber shop,,,C
351,M,Lake Placid,K. elegans,Barber shop,,,C
352,M,Lake Placid,K. elegans,Barber shop,,,C
353,M,Lake Placid,K. elegans,Barber shop,,,C
354,F,Lake Placid,K. elegans,Barber shop,,,C
370,M,Leesburg,K. elegans,Veteran’s Memorial Park,,,P
371,M,Leesburg,K. elegans,Veteran’s Memorial Park,,,P
372,F,Leesburg,K. elegans,Veteran’s Memorial Park,,,P
373,M,Leesburg,K. elegans,Veteran’s Memorial Park,,,P
374,F,Leesburg,K. elegans,Veteran’s Memorial Park,,,P
375,F,Leesburg,K. elegans,Veteran’s Memorial Park,,,P
376,F,Leesburg,K. elegans,Veteran’s Memorial Park,,,C
377,M,Leesburg,K. elegans,Veteran’s Memorial Park,,,C
378,M,Leesburg,K. elegans,Veteran’s Memorial Park,,,C
379,F,Leesburg,K. elegans,Veteran’s Memorial Park,,,C
380,F,Leesburg,K. elegans,Veteran’s Memorial Park,,,C
381,F,Leesburg,K. elegans,Veteran’s Memorial Park,,,C
382,F,Leesburg,K. elegans,Veteran’s Memorial Park,,,C
383,M,Leesburg,K. elegans,Veteran’s Memorial Park,,,C
384,M,Leesburg,K. elegans,Veteran’s Memorial Park,,,C
385,F,Leesburg,K. elegans,Veteran’s Memorial Park,,,C
386,M,Leesburg,K. elegans,Veteran’s Memorial Park,,,C
387,F,Leesburg,K. elegans,Veteran’s Memorial Park,,,C
388,M,Leesburg,K. elegans,Veteran’s Memorial Park,,,P
389,F,Leesburg,K. elegans,Veteran’s Memorial Park,,,P
390,M,Leesburg,K. elegans,Veteran’s Memorial Park,,,P
391,M,Leesburg,K. elegans,Veteran’s Memorial Park,,,P
392,F,Leesburg,K. elegans,Veteran’s Memorial Park,,,P
393,M,Leesburg,K. elegans,Veteran’s Memorial Park,,,P
394,F,Leesburg,K. elegans,Veteran’s Memorial Park,,,P
397,F,Gainesville,K. elegans,NW 10th Ave & 18th St,,,C
398,F,Gainesville,K. elegans,NW 10th Ave & 18th St,,,C
399,F,Gainesville,K. elegans,NW 10th Ave & 18th St,,,C
400,F,Gainesville,K. elegans,NW 10th Ave & 18th St,,,C
401,M,Gainesville,K. elegans,NW 10th Ave & 18th St,,,P
402,M,Gainesville,K. elegans,NW 10th Ave & 18th St,,,P
403,F,Gainesville,K. elegans,NW 10th Ave & 18th St,,,P
404,F,Gainesville,K. elegans,NW 10th Ave & 18th St,,,P
405,F,Gainesville,K. elegans,NW 10th Ave & 18th St,,,P
406,M,Gainesville,K. elegans,NW 10th Ave & 18th St,,,C
407,M,Gainesville,K. elegans,NW 10th Ave & 18th St,,,C
408,M,Gainesville,K. elegans,NW 10th Ave & 18th St,,,C
409,M,Gainesville,K. elegans,NW 10th Ave & 18th St,,,C
410,F,Gainesville,K. elegans,NW 10th Ave & 18th St,,,C
411,F,Gainesville,K. elegans,NW 10th Ave & 18th St,,,C
412,M,Gainesville,K. elegans,NW 10th Ave & 18th St,,,C
413,F,Gainesville,K. elegans,NW 10th Ave & 18th St,,,C
414,F,Gainesville,K. elegans,NW 10th Ave & 18th St,,,C
415,M,Gainesville,K. elegans,NW 10th Ave & 18th St,,,C
416,F,Gainesville,K. elegans,NW 10th Ave & 18th St,,,C
417,M,Gainesville,K. elegans,NW 10th Ave & 18th St,,,C
418,M,Gainesville,K. elegans,NW 10th Ave & 18th St,,,C
419,M,Gainesville,K. elegans,NW 10th Ave & 18th St,,,C
420,M,Gainesville,K. elegans,NW 10th Ave & 18th St,,,C
421,M,Gainesville,K. elegans,NW 10th Ave & 18th St,,,C
422,M,Gainesville,K. elegans,NW 10th Ave & 18th St,,,C
423,M,Gainesville,K. elegans,NW 10th Ave & 18th St,,,C
424,M,Gainesville,K. elegans,NW 10th Ave & 18th St,,,C